sale_id,product_id,customer_id,sale_date,quantity_sold,selling_price,region,base_price,cost_price,price_difference,inventory_turnover,recommended_price,discount_flag
S0020,P006,C109,2025-04-29,5,1239.28,Faisalabad,1200.0,750.0,39.28,0.06,1320.0,0
S0021,P006,C065,2024-12-26,4,1161.27,Karachi,1200.0,750.0,-38.73,0.05,1296.0,1
S0022,P002,C191,2026-01-08,2,1468.33,Faisalabad,1500.0,950.0,-31.67,0.03,1560.0,1
S0023,P012,C124,2024-07-08,2,763.28,Islamabad,800.0,500.0,-36.72,0.03,832.0,1
S0024,P012,C026,2025-08-26,5,839.36,Karachi,800.0,500.0,39.36,0.06,880.0,0
S0025,P005,C004,2024-08-20,3,3307.01,Faisalabad,3500.0,2200.0,-192.99,0.04,3710.0,1
S0026,P003,C142,2024-10-07,1,343.07,Islamabad,300.0,120.0,43.07,0.01,306.0,0
S0027,P012,C004,2024-05-09,4,740.52,Faisalabad,800.0,500.0,-59.48,0.05,864.0,1
S0028,P005,C048,2025-04-25,4,3535.41,Lahore,3500.0,2200.0,35.41,0.05,3780.0,0
S0029,P005,C103,2025-05-04,1,3869.35,Peshawar,3500.0,2200.0,369.35,0.01,3570.0,0
S0030,P002,C208,2025-08-13,1,1406.9,Faisalabad,1500.0,950.0,-93.1,0.01,1530.0,1
S0031,P005,C196,2024-03-28,2,3253.65,Peshawar,3500.0,2200.0,-246.35,0.03,3640.0,1
S0032,P010,C134,2025-09-02,5,1721.56,Peshawar,1800.0,1100.0,-78.44,0.06,1980.0,1
S0033,P008,C110,2025-03-29,3,1003.54,Islamabad,900.0,600.0,103.54,0.04,954.0,0
S0034,P010,C190,2025-09-27,1,1894.33,Lahore,1800.0,1100.0,94.33,0.01,1836.0,0
S0035,P004,C021,2025-10-02,2,2415.4,Karachi,2500.0,1500.0,-84.6,0.03,2600.0,1
S0036,P004,C001,2024-06-26,5,2296.92,Peshawar,2500.0,1500.0,-203.08,0.06,2750.0,1
S0037,P008,C009,2025-12-06,5,915.73,Karachi,900.0,600.0,15.73,0.06,990.0,0
S0038,P005,C117,2025-12-24,3,3765.11,Lahore,3500.0,2200.0,265.11,0.04,3710.0,0
S0039,P011,C161,2024-08-27,3,1755.13,Faisalabad,1600.0,1000.0,155.13,0.04,1696.0,0
S0040,P011,C058,2024-07-21,4,1485.91,Karachi,1600.0,1000.0,-114.09,0.05,1728.0,1
S0041,P005,C203,2024-05-25,1,3202.18,Islamabad,3500.0,2200.0,-297.82,0.01,3570.0,1
S0042,P010,C113,2026-02-05,5,2034.54,Lahore,1800.0,1100.0,234.54,0.06,1980.0,0
S0043,P008,C242,2025-12-06,3,967.44,Islamabad,900.0,600.0,67.44,0.04,954.0,0
S0044,P009,C154,2025-07-06,4,706.61,Lahore,700.0,450.0,6.61,0.05,756.0,0
S0045,P007,C007,2026-01-22,3,2312.04,Lahore,2200.0,1400.0,112.04,0.04,2332.0,0
S0046,P004,C006,2025-11-21,5,2616.95,Islamabad,2500.0,1500.0,116.95,0.06,2750.0,0
S0047,P010,C167,2024-02-11,2,1831.73,Peshawar,1800.0,1100.0,31.73,0.03,1872.0,0
S0048,P005,C209,2024-07-04,5,3531.4,Peshawar,3500.0,2200.0,31.4,0.06,3850.0,0
S0049,P002,C083,2025-04-26,3,1503.13,Lahore,1500.0,950.0,3.13,0.04,1590.0,0
S0050,P003,C074,2024-12-03,4,322.03,Peshawar,300.0,120.0,22.03,0.05,324.0,0
S0051,P009,C065,2024-02-07,4,645.41,Islamabad,700.0,450.0,-54.59,0.05,756.0,1
S0052,P002,C212,2026-03-02,4,1674.34,Lahore,1500.0,950.0,174.34,0.05,1620.0,0
S0053,P011,C049,2025-07-09,4,1605.3,Faisalabad,1600.0,1000.0,5.3,0.05,1728.0,0
S0054,P006,C195,2025-09-29,4,1267.62,Lahore,1200.0,750.0,67.62,0.05,1296.0,0
S0055,P004,C074,2024-09-30,5,2331.88,Peshawar,2500.0,1500.0,-168.12,0.06,2750.0,1
S0056,P012,C162,2025-05-11,1,725.77,Faisalabad,800.0,500.0,-74.23,0.01,816.0,1
S0057,P004,C004,2025-12-27,2,2444.22,Faisalabad,2500.0,1500.0,-55.78,0.03,2600.0,1
S0058,P007,C234,2024-04-05,2,2525.74,Lahore,2200.0,1400.0,325.74,0.03,2288.0,0
S0059,P008,C184,2024-04-30,2,922.13,Islamabad,900.0,600.0,22.13,0.03,936.0,0
S0060,P009,C124,2025-12-23,3,702.71,Peshawar,700.0,450.0,2.71,0.04,742.0,0
S0061,P004,C049,2025-04-12,5,2340.4,Faisalabad,2500.0,1500.0,-159.6,0.06,2750.0,1
S0062,P009,C071,2026-02-03,2,781.2,Peshawar,700.0,450.0,81.2,0.03,728.0,0
S0063,P006,C073,2025-06-03,3,1326.16,Islamabad,1200.0,750.0,126.16,0.04,1272.0,0
S0064,P010,C115,2025-08-16,4,2009.37,Faisalabad,1800.0,1100.0,209.37,0.05,1944.0,0
S0065,P008,C140,2024-12-19,3,934.18,Peshawar,900.0,600.0,34.18,0.04,954.0,0
S0066,P008,C062,2024-11-25,2,1030.67,Faisalabad,900.0,600.0,130.67,0.03,936.0,0
S0067,P007,C191,2024-08-27,4,2004.01,Peshawar,2200.0,1400.0,-195.99,0.05,2376.0,1
S0068,P012,C203,2025-01-25,4,917.68,Karachi,800.0,500.0,117.68,0.05,864.0,0
S0069,P008,C152,2024-02-07,2,923.02,Islamabad,900.0,600.0,23.02,0.03,936.0,0
S0070,P002,C117,2025-03-26,1,1547.23,Lahore,1500.0,950.0,47.23,0.01,1530.0,0
S0071,P012,C249,2024-05-27,4,894.19,Karachi,800.0,500.0,94.19,0.05,864.0,0
S0072,P002,C178,2025-04-25,3,1476.96,Peshawar,1500.0,950.0,-23.04,0.04,1590.0,1
S0073,P011,C220,2024-03-23,3,1780.94,Faisalabad,1600.0,1000.0,180.94,0.04,1696.0,0
S0074,P007,C010,2024-11-20,4,2459.81,Faisalabad,2200.0,1400.0,259.81,0.05,2376.0,0
S0075,P002,C192,2024-08-28,3,1724.03,Lahore,1500.0,950.0,224.03,0.04,1590.0,0
S0076,P007,C178,2024-04-10,1,2224.02,Islamabad,2200.0,1400.0,24.02,0.01,2244.0,0
S0077,P001,C076,2024-02-17,3,1099.04,Islamabad,1000.0,650.0,99.04,0.04,1060.0,0
S0078,P006,C106,2025-03-17,2,1153.26,Faisalabad,1200.0,750.0,-46.74,0.03,1248.0,1
S0079,P011,C157,2024-07-03,2,1510.03,Peshawar,1600.0,1000.0,-89.97,0.03,1664.0,1
S0080,P010,C150,2025-11-30,2,1843.95,Karachi,1800.0,1100.0,43.95,0.03,1872.0,0
S0081,P004,C171,2025-04-17,3,2537.23,Lahore,2500.0,1500.0,37.23,0.04,2650.0,0
S0082,P008,C114,2024-10-21,5,845.54,Islamabad,900.0,600.0,-54.46,0.06,990.0,1
S0083,P010,C117,2024-11-02,4,1930.64,Islamabad,1800.0,1100.0,130.64,0.05,1944.0,0
S0084,P004,C098,2025-01-28,4,2316.66,Faisalabad,2500.0,1500.0,-183.34,0.05,2700.0,1
S0085,P006,C076,2025-08-11,3,1377.81,Lahore,1200.0,750.0,177.81,0.04,1272.0,0
S0086,P011,C222,2025-02-09,3,1443.24,Lahore,1600.0,1000.0,-156.76,0.04,1696.0,1
S0087,P010,C232,2026-02-02,4,1994.78,Islamabad,1800.0,1100.0,194.78,0.05,1944.0,0
S0088,P004,C049,2025-09-13,3,2386.88,Faisalabad,2500.0,1500.0,-113.12,0.04,2650.0,1
S0089,P005,C232,2025-11-25,2,3699.72,Lahore,3500.0,2200.0,199.72,0.03,3640.0,0
S0090,P005,C188,2025-03-27,1,3657.13,Karachi,3500.0,2200.0,157.13,0.01,3570.0,0
S0091,P002,C045,2024-10-29,3,1630.31,Karachi,1500.0,950.0,130.31,0.04,1590.0,0
S0092,P003,C234,2025-07-06,3,309.81,Islamabad,300.0,120.0,9.81,0.04,318.0,0
S0093,P003,C076,2024-09-20,4,342.55,Islamabad,300.0,120.0,42.55,0.05,324.0,0
S0094,P002,C248,2025-04-24,1,1402.78,Karachi,1500.0,950.0,-97.22,0.01,1530.0,1
S0095,P011,C206,2026-01-11,4,1826.91,Faisalabad,1600.0,1000.0,226.91,0.05,1728.0,0
S0096,P006,C138,2024-04-02,4,1084.18,Lahore,1200.0,750.0,-115.82,0.05,1296.0,1
S0097,P008,C211,2025-01-12,3,941.53,Islamabad,900.0,600.0,41.53,0.04,954.0,0
S0098,P002,C159,2025-11-22,2,1526.8,Faisalabad,1500.0,950.0,26.8,0.03,1560.0,0
S0099,P006,C163,2025-09-16,2,1274.3,Peshawar,1200.0,750.0,74.3,0.03,1248.0,0
S0100,P012,C012,2024-11-05,4,743.34,Lahore,800.0,500.0,-56.66,0.05,864.0,1
S0101,P005,C228,2025-05-19,1,3235.04,Faisalabad,3500.0,2200.0,-264.96,0.01,3570.0,1
S0102,P003,C244,2025-02-01,4,297.83,Faisalabad,300.0,120.0,-2.17,0.05,324.0,1
S0103,P007,C168,2025-08-24,2,2466.98,Lahore,2200.0,1400.0,266.98,0.03,2288.0,0
S0104,P008,C072,2025-09-22,4,1021.29,Lahore,900.0,600.0,121.29,0.05,972.0,0
S0105,P012,C244,2025-01-14,2,808.68,Karachi,800.0,500.0,8.68,0.03,832.0,0
S0106,P006,C166,2024-04-11,3,1243.34,Islamabad,1200.0,750.0,43.34,0.04,1272.0,0
S0107,P001,C032,2025-02-11,3,947.45,Peshawar,1000.0,650.0,-52.55,0.04,1060.0,1
S0108,P002,C153,2025-11-09,2,1590.64,Lahore,1500.0,950.0,90.64,0.03,1560.0,0
S0109,P001,C202,2024-12-07,2,1147.21,Faisalabad,1000.0,650.0,147.21,0.03,1040.0,0
S0110,P004,C056,2024-03-11,5,2379.47,Karachi,2500.0,1500.0,-120.53,0.06,2750.0,1
S0111,P006,C153,2026-03-03,2,1316.59,Lahore,1200.0,750.0,116.59,0.03,1248.0,0
S0112,P005,C205,2024-05-28,2,3622.69,Karachi,3500.0,2200.0,122.69,0.03,3640.0,0
S0113,P002,C092,2025-11-07,1,1399.43,Karachi,1500.0,950.0,-100.57,0.01,1530.0,1
S0114,P010,C014,2024-11-27,1,1698.41,Karachi,1800.0,1100.0,-101.59,0.01,1836.0,1
S0115,P012,C017,2025-03-07,5,742.73,Peshawar,800.0,500.0,-57.27,0.06,880.0,1
S0116,P008,C028,2026-03-07,3,925.48,Peshawar,900.0,600.0,25.48,0.04,954.0,0
S0117,P009,C201,2024-08-14,5,637.59,Faisalabad,700.0,450.0,-62.41,0.06,770.0,1
S0118,P005,C123,2025-04-14,1,3203.22,Peshawar,3500.0,2200.0,-296.78,0.01,3570.0,1
S0119,P007,C233,2025-12-03,1,2249.65,Peshawar,2200.0,1400.0,49.65,0.01,2244.0,0
S0120,P002,C017,2024-03-23,3,1578.11,Karachi,1500.0,950.0,78.11,0.04,1590.0,0
S0121,P005,C084,2025-10-01,5,3629.81,Peshawar,3500.0,2200.0,129.81,0.06,3850.0,0
S0122,P010,C155,2025-06-27,3,1824.17,Peshawar,1800.0,1100.0,24.17,0.04,1908.0,0
S0123,P002,C167,2025-12-19,1,1669.8,Faisalabad,1500.0,950.0,169.8,0.01,1530.0,0
S0124,P012,C059,2024-08-08,4,810.31,Peshawar,800.0,500.0,10.31,0.05,864.0,0
S0125,P006,C025,2025-04-09,4,1204.8,Islamabad,1200.0,750.0,4.8,0.05,1296.0,0
S0126,P007,C040,2024-11-16,3,2185.87,Peshawar,2200.0,1400.0,-14.13,0.04,2332.0,1
S0127,P002,C025,2024-04-03,1,1384.96,Islamabad,1500.0,950.0,-115.04,0.01,1530.0,1
S0128,P003,C144,2025-07-23,1,313.98,Faisalabad,300.0,120.0,13.98,0.01,306.0,0
S0129,P006,C224,2025-11-17,1,1203.24,Peshawar,1200.0,750.0,3.24,0.01,1224.0,0
S0130,P012,C091,2024-02-22,3,840.08,Lahore,800.0,500.0,40.08,0.04,848.0,0
S0131,P010,C124,2025-06-03,2,1689.63,Karachi,1800.0,1100.0,-110.37,0.03,1872.0,1
S0132,P002,C196,2024-12-24,5,1487.84,Islamabad,1500.0,950.0,-12.16,0.06,1650.0,1
S0133,P010,C250,2024-08-19,4,2000.32,Faisalabad,1800.0,1100.0,200.32,0.05,1944.0,0
S0134,P010,C238,2025-11-22,5,1631.81,Islamabad,1800.0,1100.0,-168.19,0.06,1980.0,1
S0135,P001,C080,2024-07-03,3,1075.67,Islamabad,1000.0,650.0,75.67,0.04,1060.0,0
S0136,P006,C145,2024-01-07,2,1340.96,Peshawar,1200.0,750.0,140.96,0.03,1248.0,0
S0137,P002,C136,2024-05-25,1,1384.41,Karachi,1500.0,950.0,-115.59,0.01,1530.0,1
S0138,P007,C095,2025-03-05,4,2167.49,Islamabad,2200.0,1400.0,-32.51,0.05,2376.0,1
S0139,P012,C227,2024-11-28,5,839.24,Lahore,800.0,500.0,39.24,0.06,880.0,0
S0140,P003,C021,2024-06-10,5,273.73,Islamabad,300.0,120.0,-26.27,0.06,330.0,1
S0141,P008,C114,2025-11-08,4,919.27,Peshawar,900.0,600.0,19.27,0.05,972.0,0
S0142,P005,C111,2024-08-08,5,3249.59,Lahore,3500.0,2200.0,-250.41,0.06,3850.0,1
S0143,P005,C171,2025-11-25,5,3575.8,Islamabad,3500.0,2200.0,75.8,0.06,3850.0,0
S0144,P001,C015,2024-08-13,4,1146.11,Lahore,1000.0,650.0,146.11,0.05,1080.0,0
S0145,P004,C196,2024-11-04,2,2729.59,Islamabad,2500.0,1500.0,229.59,0.03,2600.0,0
S0146,P005,C192,2024-12-01,1,3156.76,Peshawar,3500.0,2200.0,-343.24,0.01,3570.0,1
S0147,P003,C059,2024-05-12,4,309.94,Faisalabad,300.0,120.0,9.94,0.05,324.0,0
S0148,P009,C221,2025-11-15,3,642.61,Lahore,700.0,450.0,-57.39,0.04,742.0,1
S0149,P007,C221,2024-01-20,4,2486.64,Islamabad,2200.0,1400.0,286.64,0.05,2376.0,0
S0150,P010,C164,2025-03-15,5,1801.99,Peshawar,1800.0,1100.0,1.99,0.06,1980.0,0
S0151,P005,C084,2024-04-27,4,3168.25,Karachi,3500.0,2200.0,-331.75,0.05,3780.0,1
S0152,P010,C217,2025-04-16,3,1659.66,Lahore,1800.0,1100.0,-140.34,0.04,1908.0,1
S0153,P004,C021,2025-03-22,5,2500.28,Peshawar,2500.0,1500.0,0.28,0.06,2750.0,0
S0154,P005,C200,2026-02-02,3,3343.88,Karachi,3500.0,2200.0,-156.12,0.04,3710.0,1
S0155,P002,C050,2025-06-06,1,1548.98,Islamabad,1500.0,950.0,48.98,0.01,1530.0,0
S0156,P006,C038,2026-01-14,2,1150.88,Islamabad,1200.0,750.0,-49.12,0.03,1248.0,1
S0157,P004,C195,2024-06-26,5,2345.54,Lahore,2500.0,1500.0,-154.46,0.06,2750.0,1
S0158,P003,C145,2026-03-02,4,304.8,Faisalabad,300.0,120.0,4.8,0.05,324.0,0
S0159,P008,C160,2025-11-28,5,954.67,Islamabad,900.0,600.0,54.67,0.06,990.0,0
S0160,P011,C121,2024-11-19,2,1615.91,Peshawar,1600.0,1000.0,15.91,0.03,1664.0,0
S0161,P011,C091,2024-11-06,3,1676.57,Faisalabad,1600.0,1000.0,76.57,0.04,1696.0,0
S0162,P002,C015,2024-11-13,4,1519.47,Islamabad,1500.0,950.0,19.47,0.05,1620.0,0
S0163,P005,C130,2024-03-19,1,3688.13,Peshawar,3500.0,2200.0,188.13,0.01,3570.0,0
S0164,P008,C190,2025-08-17,5,1024.7,Lahore,900.0,600.0,124.7,0.06,990.0,0
S0165,P008,C122,2025-08-08,2,882.34,Faisalabad,900.0,600.0,-17.66,0.03,936.0,1
S0166,P003,C231,2024-03-04,4,277.76,Islamabad,300.0,120.0,-22.24,0.05,324.0,1
S0167,P012,C011,2024-03-27,5,849.23,Karachi,800.0,500.0,49.23,0.06,880.0,0
S0168,P012,C157,2025-03-24,4,824.81,Karachi,800.0,500.0,24.81,0.05,864.0,0
S0169,P006,C199,2025-01-16,3,1196.22,Islamabad,1200.0,750.0,-3.78,0.04,1272.0,1
S0170,P011,C166,2025-09-04,1,1755.69,Islamabad,1600.0,1000.0,155.69,0.01,1632.0,0
S0171,P002,C099,2024-12-03,1,1559.24,Islamabad,1500.0,950.0,59.24,0.01,1530.0,0
S0172,P005,C086,2026-01-11,5,3914.12,Lahore,3500.0,2200.0,414.12,0.06,3850.0,0
S0173,P010,C080,2025-11-10,2,2032.54,Peshawar,1800.0,1100.0,232.54,0.03,1872.0,0
S0174,P003,C097,2025-09-01,1,293.22,Islamabad,300.0,120.0,-6.78,0.01,306.0,1
S0175,P003,C172,2025-11-17,5,277.01,Peshawar,300.0,120.0,-22.99,0.06,330.0,1
S0176,P009,C047,2025-01-05,1,693.45,Karachi,700.0,450.0,-6.55,0.01,714.0,1
S0177,P006,C036,2026-02-23,4,1137.6,Karachi,1200.0,750.0,-62.4,0.05,1296.0,1
S0178,P002,C139,2024-10-29,1,1540.38,Faisalabad,1500.0,950.0,40.38,0.01,1530.0,0
S0179,P001,C159,2025-11-08,3,1119.1,Karachi,1000.0,650.0,119.1,0.04,1060.0,0
S0180,P010,C213,2025-01-20,2,1693.01,Faisalabad,1800.0,1100.0,-106.99,0.03,1872.0,1
S0181,P003,C094,2026-01-08,4,273.28,Karachi,300.0,120.0,-26.72,0.05,324.0,1
S0182,P008,C201,2025-09-17,3,979.29,Peshawar,900.0,600.0,79.29,0.04,954.0,0
S0183,P004,C208,2025-06-30,2,2443.42,Peshawar,2500.0,1500.0,-56.58,0.03,2600.0,1
S0184,P004,C119,2025-01-11,5,2865.27,Islamabad,2500.0,1500.0,365.27,0.06,2750.0,0
S0185,P007,C042,2025-05-29,5,2210.26,Karachi,2200.0,1400.0,10.26,0.06,2420.0,0
S0186,P010,C124,2024-05-21,3,1643.48,Islamabad,1800.0,1100.0,-156.52,0.04,1908.0,1
S0187,P009,C073,2024-04-15,5,778.95,Lahore,700.0,450.0,78.95,0.06,770.0,0
S0188,P003,C038,2024-10-06,4,337.9,Peshawar,300.0,120.0,37.9,0.05,324.0,0
S0189,P002,C239,2024-08-15,4,1681.74,Lahore,1500.0,950.0,181.74,0.05,1620.0,0
S0190,P007,C061,2024-02-24,4,2256.1,Peshawar,2200.0,1400.0,56.1,0.05,2376.0,0
S0191,P002,C239,2025-01-18,2,1360.57,Lahore,1500.0,950.0,-139.43,0.03,1560.0,1
S0192,P012,C036,2025-10-27,3,878.28,Lahore,800.0,500.0,78.28,0.04,848.0,0
S0193,P005,C121,2025-04-28,2,3813.99,Peshawar,3500.0,2200.0,313.99,0.03,3640.0,0
S0194,P010,C056,2024-01-06,1,1628.55,Karachi,1800.0,1100.0,-171.45,0.01,1836.0,1
S0195,P009,C029,2026-01-14,5,722.36,Islamabad,700.0,450.0,22.36,0.06,770.0,0
S0196,P004,C108,2024-11-04,1,2279.84,Faisalabad,2500.0,1500.0,-220.16,0.01,2550.0,1
S0197,P008,C128,2024-03-05,1,998.25,Faisalabad,900.0,600.0,98.25,0.01,918.0,0
S0198,P009,C184,2024-01-17,5,730.63,Karachi,700.0,450.0,30.63,0.06,770.0,0
S0199,P005,C062,2025-03-15,1,3687.96,Faisalabad,3500.0,2200.0,187.96,0.01,3570.0,0
S0200,P007,C093,2024-07-10,1,2267.92,Lahore,2200.0,1400.0,67.92,0.01,2244.0,0
S0201,P009,C130,2025-07-11,5,767.62,Faisalabad,700.0,450.0,67.62,0.06,770.0,0
S0202,P001,C100,2025-02-03,4,910.88,Islamabad,1000.0,650.0,-89.12,0.05,1080.0,1
S0203,P005,C018,2026-02-04,1,3462.46,Islamabad,3500.0,2200.0,-37.54,0.01,3570.0,1
S0204,P004,C189,2026-01-20,1,2732.19,Islamabad,2500.0,1500.0,232.19,0.01,2550.0,0
S0205,P003,C209,2024-02-15,3,310.95,Karachi,300.0,120.0,10.95,0.04,318.0,0
S0206,P011,C208,2025-04-20,4,1692.69,Karachi,1600.0,1000.0,92.69,0.05,1728.0,0
S0207,P002,C052,2026-01-03,4,1363.87,Lahore,1500.0,950.0,-136.13,0.05,1620.0,1
S0208,P004,C132,2024-02-12,3,2833.36,Peshawar,2500.0,1500.0,333.36,0.04,2650.0,0
S0209,P009,C166,2025-04-29,3,636.41,Karachi,700.0,450.0,-63.59,0.04,742.0,1
S0210,P005,C085,2024-12-31,1,3907.57,Islamabad,3500.0,2200.0,407.57,0.01,3570.0,0
S0211,P002,C191,2025-01-11,4,1683.56,Peshawar,1500.0,950.0,183.56,0.05,1620.0,0
S0212,P007,C128,2024-12-13,2,2252.91,Islamabad,2200.0,1400.0,52.91,0.03,2288.0,0
S0213,P009,C021,2024-09-30,1,757.24,Peshawar,700.0,450.0,57.24,0.01,714.0,0
S0214,P010,C027,2024-07-03,5,1752.19,Lahore,1800.0,1100.0,-47.81,0.06,1980.0,1
S0215,P006,C155,2025-11-07,3,1171.95,Peshawar,1200.0,750.0,-28.05,0.04,1272.0,1
S0216,P003,C011,2025-12-07,4,296.37,Islamabad,300.0,120.0,-3.63,0.05,324.0,1
S0217,P010,C203,2025-03-21,3,1907.76,Lahore,1800.0,1100.0,107.76,0.04,1908.0,0
S0218,P002,C206,2025-11-18,4,1486.24,Karachi,1500.0,950.0,-13.76,0.05,1620.0,1
S0219,P001,C113,2024-05-26,5,1069.52,Lahore,1000.0,650.0,69.52,0.06,1100.0,0
S0220,P003,C094,2024-03-09,2,328.39,Islamabad,300.0,120.0,28.39,0.03,312.0,0
S0221,P007,C174,2025-08-03,1,2312.8,Peshawar,2200.0,1400.0,112.8,0.01,2244.0,0
S0222,P006,C147,2025-01-15,4,1308.93,Karachi,1200.0,750.0,108.93,0.05,1296.0,0
S0223,P009,C072,2025-01-10,4,685.02,Karachi,700.0,450.0,-14.98,0.05,756.0,1
S0224,P002,C100,2024-01-27,2,1537.14,Faisalabad,1500.0,950.0,37.14,0.03,1560.0,0
S0225,P002,C055,2024-09-25,3,1614.01,Faisalabad,1500.0,950.0,114.01,0.04,1590.0,0
S0226,P005,C035,2025-12-11,4,3325.16,Lahore,3500.0,2200.0,-174.84,0.05,3780.0,1
S0227,P008,C208,2024-06-25,4,1034.38,Islamabad,900.0,600.0,134.38,0.05,972.0,0
S0228,P011,C075,2024-12-21,1,1660.0,Islamabad,1600.0,1000.0,60.0,0.01,1632.0,0
S0229,P003,C131,2025-12-29,2,329.53,Karachi,300.0,120.0,29.53,0.03,312.0,0
S0230,P002,C127,2024-07-24,2,1438.78,Lahore,1500.0,950.0,-61.22,0.03,1560.0,1
S0231,P006,C206,2025-07-21,5,1190.67,Faisalabad,1200.0,750.0,-9.33,0.06,1320.0,1
S0232,P003,C102,2025-09-18,1,274.93,Peshawar,300.0,120.0,-25.07,0.01,306.0,1
S0233,P009,C019,2025-02-24,4,774.08,Karachi,700.0,450.0,74.08,0.05,756.0,0
S0234,P006,C175,2025-10-19,1,1214.99,Faisalabad,1200.0,750.0,14.99,0.01,1224.0,0
S0235,P006,C047,2024-05-11,5,1271.94,Karachi,1200.0,750.0,71.94,0.06,1320.0,0
S0236,P007,C133,2025-05-29,1,2437.26,Karachi,2200.0,1400.0,237.26,0.01,2244.0,0
S0237,P005,C182,2024-06-17,2,3432.33,Karachi,3500.0,2200.0,-67.67,0.03,3640.0,1
S0238,P006,C065,2025-06-15,3,1333.78,Karachi,1200.0,750.0,133.78,0.04,1272.0,0
S0239,P011,C078,2025-07-18,3,1490.07,Faisalabad,1600.0,1000.0,-109.93,0.04,1696.0,1
S0240,P009,C152,2024-04-05,5,742.17,Faisalabad,700.0,450.0,42.17,0.06,770.0,0
S0241,P003,C155,2024-06-24,5,324.05,Islamabad,300.0,120.0,24.05,0.06,330.0,0
S0242,P010,C243,2024-02-12,1,1656.55,Faisalabad,1800.0,1100.0,-143.45,0.01,1836.0,1
S0243,P005,C107,2025-10-28,2,3821.09,Faisalabad,3500.0,2200.0,321.09,0.03,3640.0,0
S0244,P011,C140,2024-02-01,4,1795.6,Islamabad,1600.0,1000.0,195.6,0.05,1728.0,0
S0245,P011,C207,2024-11-05,4,1537.95,Peshawar,1600.0,1000.0,-62.05,0.05,1728.0,1
S0246,P005,C041,2025-04-09,1,3752.54,Peshawar,3500.0,2200.0,252.54,0.01,3570.0,0
S0247,P007,C156,2025-05-10,4,2092.21,Karachi,2200.0,1400.0,-107.79,0.05,2376.0,1
S0248,P006,C221,2026-01-05,3,1300.26,Islamabad,1200.0,750.0,100.26,0.04,1272.0,0
S0249,P007,C028,2024-05-13,3,2263.24,Islamabad,2200.0,1400.0,63.24,0.04,2332.0,0
S0250,P004,C064,2025-04-22,1,2417.17,Karachi,2500.0,1500.0,-82.83,0.01,2550.0,1
S0251,P002,C222,2024-02-21,3,1704.52,Faisalabad,1500.0,950.0,204.52,0.04,1590.0,0
S0252,P007,C240,2024-09-11,2,2427.41,Faisalabad,2200.0,1400.0,227.41,0.03,2288.0,0
S0253,P012,C128,2024-11-16,2,872.62,Faisalabad,800.0,500.0,72.62,0.03,832.0,0
S0254,P008,C024,2025-05-25,3,921.91,Peshawar,900.0,600.0,21.91,0.04,954.0,0
S0255,P009,C091,2025-04-13,2,667.65,Lahore,700.0,450.0,-32.35,0.03,728.0,1
S0256,P001,C216,2024-10-15,4,1049.38,Peshawar,1000.0,650.0,49.38,0.05,1080.0,0
S0257,P005,C111,2025-07-03,1,3891.28,Karachi,3500.0,2200.0,391.28,0.01,3570.0,0
S0258,P005,C094,2026-01-14,3,3818.37,Lahore,3500.0,2200.0,318.37,0.04,3710.0,0
