customer_id,total_spend,total_units,regions_seen,customer_ltv
C224,3487.27,13,4,1870.54
C091,3184.3,8,2,1514.5
C250,7905.37,15,3,3516.88
C080,4748.28,8,2,2061.9
C136,2125.2,4,1,943.82
C095,6294.84,17,3,3053.19
C227,839.24,5,1,543.73
C111,14901.66,15,3,5965.58
C015,2665.58,8,2,1332.95
C221,11960.37,26,4,5486.13
C164,2666.23,6,2,1233.18
C217,7260.35,11,4,3091.12
C200,5551.48,6,2,2243.02
C050,2954.82,6,2,1334.19
C038,1488.78,6,2,821.07
C160,954.67,5,1,584.13
C121,6232.47,5,2,2431.36
C130,4455.75,6,2,1859.51
C122,5234.44,9,2,2282.05
C231,277.76,4,1,297.22
C011,3646.47,14,3,1976.26
C199,1196.22,3,1,568.68
C099,2607.63,6,2,1212.67
C086,3914.12,5,1,1619.94
C097,293.22,1,1,152.63
C036,5043.24,14,3,2465.13
C139,1812.17,5,2,884.26
C094,7618.35,14,4,3366.42
C119,4009.89,6,2,1703.46
C042,3823.32,7,2,1688.16
C239,3322.79,11,2,1712.98
C061,5709.33,9,1,2448.27
C029,1386.1,8,1,885.13
C108,4100.1,9,3,1885.04
C128,7329.88,15,3,3315.46
C093,4556.92,6,2,1894.92
C100,2448.02,6,2,1156.81
C189,3589.41,3,2,1406.29
C052,4405.44,13,3,2191.9
C132,7858.08,11,3,3300.33
C085,5962.64,5,2,2336.92
C027,2041.32,7,2,1064.46
C174,5078.28,14,4,2477.4
C147,4968.58,7,2,2089.0
C055,2592.16,6,2,1207.26
C035,6906.99,9,3,2867.45
C075,1660.0,1,1,631.0
C131,3307.92,4,3,1357.77
C127,4165.03,9,3,1907.76
C102,4141.65,12,4,2049.58
C019,1912.0,7,2,1019.2
C175,3729.6,2,2,1405.36
C133,5342.99,7,2,2220.05
C182,5226.4,6,2,2129.24
C078,7673.18,12,3,3285.61
C107,4723.94,7,1,2003.38
C207,1537.95,4,1,738.28
C041,3752.54,1,1,1363.39
C156,5782.42,14,3,2723.85
C064,7241.46,10,3,3034.51
C240,5201.22,7,3,2170.43
C024,8250.17,14,4,3587.56
C216,1049.38,4,1,567.28
C137,1992.73,5,1,947.46
C068,2458.03,4,2,1060.31
C044,2716.98,3,2,1100.94
C180,3479.69,2,1,1317.89
C039,8006.45,14,3,3502.26
C081,4774.5,12,4,2271.07
C181,6165.84,10,3,2658.04
C090,3422.39,12,2,1797.84
C013,2558.85,9,2,1345.6
C146,2989.58,7,3,1396.35
C016,4593.5,5,2,1857.72
C129,4377.43,7,2,1882.1
C057,1751.67,4,2,813.08
C194,5750.59,11,2,2562.71
C020,3744.04,12,3,1910.41
C126,2320.44,6,2,1112.15
C173,1709.42,2,2,698.3
C197,3822.85,2,1,1438.0
C033,1497.4,5,1,774.09
C225,3498.63,6,2,1524.52
C235,1334.21,5,2,716.97
C210,4087.26,6,2,1730.54
C082,4924.62,9,3,2173.62
C053,4581.84,6,2,1903.64
C054,2475.14,8,2,1266.3
C247,6779.17,5,3,2622.71
C179,2152.39,8,2,1153.34
C120,3922.46,5,1,1622.86
C149,1133.69,5,1,646.79
C176,3677.07,6,1,1586.97
C165,3995.69,4,1,1598.49
C185,6377.22,13,3,2882.03
C246,1032.82,5,1,611.49
C060,2478.18,6,2,1167.36
C169,1128.19,5,1,644.87
C223,5977.27,10,3,2592.04
C218,661.39,1,1,281.49
C116,2216.66,8,2,1175.83
C077,2237.27,8,2,1183.04
C101,2913.91,5,2,1269.87
C187,3500.81,8,2,1625.28
C022,1762.55,9,2,1066.89
C096,5747.98,11,2,2561.79
C236,1843.01,2,2,745.05
C088,1480.62,2,1,618.22
C030,1415.94,4,2,695.58
C148,3902.83,11,3,1915.99
C069,1049.48,3,1,517.32
C043,1129.52,9,2,845.33
C204,890.02,3,1,461.51
C034,1244.19,3,1,585.47
C245,343.61,5,1,370.26
C037,2514.91,1,1,930.22
C070,1960.09,8,1,1086.03
C214,1456.13,5,1,759.65
C237,1368.99,4,1,679.15
C158,1636.22,2,1,672.68
C141,4425.26,7,2,1898.84
C230,954.76,5,1,584.17
C151,764.65,3,1,417.63
C112,2314.02,2,1,909.91
C170,3577.96,4,1,1452.29
C183,3939.93,4,1,1578.98
C067,2771.32,2,1,1069.96
C125,1194.91,3,1,568.22
C104,1697.49,1,1,644.12
C008,2463.63,5,1,1112.27
