customer_id,customer_name,region,customer_segment,signup_date,total_spend,total_units,regions_seen,customer_ltv
C080,Customer 80,Faisalabad,Budget,2023-03-14,4748.28,8,2,2061.9
C081,Customer 81,Peshawar,Budget,2023-10-13,4774.5,12,4,2271.07
C082,Customer 82,Karachi,Premium,2024-07-06,4924.62,9,3,2173.62
C083,Customer 83,Faisalabad,Standard,2024-08-07,6803.94,14,3,3081.38
C084,Customer 84,Peshawar,Standard,2023-09-06,6798.06,9,2,2829.32
C085,Customer 85,Lahore,Budget,2023-07-14,5962.64,5,2,2336.92
C086,Customer 86,Peshawar,Standard,2024-11-05,3914.12,5,1,1619.94
C087,Customer 87,Peshawar,Standard,2024-03-09,0.0,0,0,0.0
C088,Customer 88,Lahore,Premium,2025-01-16,1480.62,2,1,618.22
C089,Customer 89,Lahore,Budget,2024-10-31,0.0,0,0,0.0
C090,Customer 90,Islamabad,Budget,2024-02-17,3422.39,12,2,1797.84
C091,Customer 91,Karachi,Budget,2023-09-12,3184.3,8,2,1514.5
C092,Customer 92,Peshawar,Budget,2024-07-03,5016.37,5,2,2005.73
C093,Customer 93,Karachi,Standard,2024-03-08,4556.92,6,2,1894.92
C094,Customer 94,Karachi,Budget,2024-04-18,7618.35,14,4,3366.42
C095,Customer 95,Faisalabad,Budget,2024-03-29,6294.84,17,3,3053.19
C096,Customer 96,Faisalabad,Budget,2023-02-21,5747.98,11,2,2561.79
C097,Customer 97,Karachi,Budget,2023-04-06,293.22,1,1,152.63
C098,Customer 98,Peshawar,Standard,2024-02-21,10868.4,18,4,4703.94
C099,Customer 99,Peshawar,Budget,2023-08-07,2607.63,6,2,1212.67
C100,Customer 100,Peshawar,Budget,2023-06-18,2448.02,6,2,1156.81
C101,Customer 101,Islamabad,Standard,2024-02-04,2913.91,5,2,1269.87
C102,Customer 102,Peshawar,Premium,2023-10-20,4141.65,12,4,2049.58
C103,Customer 103,Faisalabad,Premium,2025-01-18,5399.06,6,2,2189.67
C104,Customer 104,Peshawar,Budget,2025-01-05,1697.49,1,1,644.12
C105,Customer 105,Islamabad,Budget,2023-07-14,0.0,0,0,0.0
C106,Customer 106,Faisalabad,Premium,2023-03-01,5089.14,7,2,2131.2
C107,Customer 107,Lahore,Premium,2024-07-09,4723.94,7,1,2003.38
C108,Customer 108,Lahore,Budget,2023-11-18,4100.1,9,3,1885.04
C109,Customer 109,Peshawar,Premium,2024-08-21,2003.52,10,2,1201.23
C110,Customer 110,Karachi,Budget,2024-06-27,1790.54,4,1,826.69
C111,Customer 111,Lahore,Budget,2024-06-04,14901.66,15,3,5965.58
C112,Customer 112,Faisalabad,Budget,2023-03-12,2314.02,2,1,909.91
C113,Customer 113,Karachi,Standard,2024-11-22,5505.45,15,3,2676.91
C114,Customer 114,Faisalabad,Budget,2023-05-03,3468.42,10,2,1713.95
C115,Customer 115,Faisalabad,Budget,2024-08-15,2009.37,4,1,903.28
C116,Customer 116,Lahore,Standard,2024-09-26,2216.66,8,2,1175.83
C117,Customer 117,Faisalabad,Premium,2024-11-04,8006.72,9,2,3252.35
C118,Customer 118,Islamabad,Standard,2024-06-19,0.0,0,0,0.0
C119,Customer 119,Islamabad,Budget,2023-07-29,4009.89,6,2,1703.46
C120,Customer 120,Peshawar,Budget,2023-09-29,3922.46,5,1,1622.86
C121,Customer 121,Islamabad,Standard,2024-11-18,6232.47,5,2,2431.36
C122,Customer 122,Lahore,Budget,2023-11-20,5234.44,9,2,2282.05
C123,Customer 123,Faisalabad,Premium,2024-04-14,3203.22,1,1,1171.13
C124,Customer 124,Lahore,Premium,2023-04-13,4799.1,10,3,2179.68
C125,Customer 125,Faisalabad,Standard,2023-08-07,1194.91,3,1,568.22
C126,Customer 126,Islamabad,Budget,2023-05-16,2320.44,6,2,1112.15
C127,Customer 127,Islamabad,Standard,2023-09-08,4165.03,9,3,1907.76
C128,Customer 128,Peshawar,Premium,2023-06-11,7329.88,15,3,3315.46
C129,Customer 129,Islamabad,Premium,2024-12-21,4377.43,7,2,1882.1
C130,Customer 130,Faisalabad,Budget,2024-10-31,4455.75,6,2,1859.51
C131,Customer 131,Faisalabad,Standard,2024-11-14,3307.92,4,3,1357.77
C132,Customer 132,Lahore,Budget,2024-11-10,7858.08,11,3,3300.33
C133,Customer 133,Lahore,Budget,2023-09-28,5342.99,7,2,2220.05
C134,Customer 134,Faisalabad,Budget,2025-01-30,7716.75,15,3,3450.86
C135,Customer 135,Islamabad,Premium,2023-10-06,0.0,0,0,0.0
C136,Customer 136,Islamabad,Budget,2023-08-04,2125.2,4,1,943.82
C137,Customer 137,Islamabad,Premium,2024-12-04,1992.73,5,1,947.46
C138,Customer 138,Islamabad,Budget,2024-05-15,3505.96,5,2,1477.09
C139,Customer 139,Peshawar,Standard,2023-04-05,1812.17,5,2,884.26
C140,Customer 140,Lahore,Standard,2023-02-15,5578.23,16,3,2752.38
C141,Customer 141,Karachi,Premium,2025-02-28,4425.26,7,2,1898.84
C142,Customer 142,Karachi,Premium,2023-09-26,2892.5,7,2,1362.38
C143,Customer 143,Faisalabad,Premium,2024-03-28,0.0,0,0,0.0
C144,Customer 144,Faisalabad,Budget,2024-03-13,313.98,1,1,159.89
C145,Customer 145,Lahore,Premium,2023-04-25,6204.1,14,4,2871.43
C146,Customer 146,Faisalabad,Budget,2023-06-02,2989.58,7,3,1396.35
C147,Customer 147,Faisalabad,Premium,2024-01-14,4968.58,7,2,2089.0
C148,Customer 148,Peshawar,Budget,2023-06-01,3902.83,11,3,1915.99
C149,Customer 149,Islamabad,Standard,2023-02-12,1133.69,5,1,646.79
C150,Customer 150,Islamabad,Budget,2023-02-10,8141.39,12,3,3449.49
C151,Customer 151,Karachi,Premium,2024-11-29,764.65,3,1,417.63
C152,Customer 152,Islamabad,Premium,2023-04-16,1665.19,7,2,932.82
C153,Customer 153,Faisalabad,Premium,2024-02-21,4619.37,6,1,1916.78
C154,Customer 154,Karachi,Budget,2023-06-08,706.61,4,1,447.31
C155,Customer 155,Peshawar,Budget,2023-07-01,3320.17,11,2,1712.06
C156,Customer 156,Islamabad,Standard,2023-07-03,5782.42,14,3,2723.85
C157,Customer 157,Karachi,Standard,2024-11-16,5509.16,13,3,2578.21
C158,Customer 158,Lahore,Standard,2023-06-13,1636.22,2,1,672.68
C159,Customer 159,Peshawar,Budget,2023-02-09,4120.18,9,3,1892.06
C160,Customer 160,Peshawar,Standard,2023-07-24,954.67,5,1,584.13
C161,Customer 161,Karachi,Budget,2023-11-09,2575.47,4,2,1101.41
C162,Customer 162,Karachi,Standard,2023-01-25,2520.56,9,3,1332.2
C163,Customer 163,Islamabad,Budget,2023-12-03,2895.1,6,2,1313.28
C164,Customer 164,Islamabad,Standard,2025-03-02,2666.23,6,2,1233.18
C165,Customer 165,Faisalabad,Standard,2024-10-18,3995.69,4,1,1598.49
C166,Customer 166,Faisalabad,Standard,2024-11-26,6641.56,10,3,2824.55
C167,Customer 167,Lahore,Standard,2023-01-29,4854.71,8,3,2099.15
C168,Customer 168,Faisalabad,Standard,2023-07-02,5176.97,3,2,1961.94
C169,Customer 169,Lahore,Premium,2023-02-09,1128.19,5,1,644.87
C170,Customer 170,Islamabad,Premium,2024-03-20,3577.96,4,1,1452.29
C171,Customer 171,Peshawar,Premium,2023-11-18,6113.03,8,2,2539.56
C172,Customer 172,Lahore,Standard,2024-06-07,2010.64,10,2,1203.72
C173,Customer 173,Karachi,Standard,2024-08-13,1709.42,2,2,698.3
C174,Customer 174,Peshawar,Budget,2023-02-15,5078.28,14,4,2477.4
C175,Customer 175,Faisalabad,Premium,2024-06-16,3729.6,2,2,1405.36
C176,Customer 176,Karachi,Standard,2025-01-06,3677.07,6,1,1586.97
C177,Customer 177,Lahore,Premium,2024-03-17,0.0,0,0,0.0
C178,Customer 178,Faisalabad,Standard,2023-12-05,8710.15,12,3,3648.55
C179,Customer 179,Lahore,Premium,2024-11-10,2152.39,8,2,1153.34
C180,Customer 180,Faisalabad,Standard,2023-11-04,3479.69,2,1,1317.89
C181,Customer 181,Peshawar,Standard,2024-11-13,6165.84,10,3,2658.04
C182,Customer 182,Islamabad,Premium,2024-02-17,5226.4,6,2,2129.24
C183,Customer 183,Karachi,Standard,2023-05-11,3939.93,4,1,1578.98
C184,Customer 184,Peshawar,Premium,2024-11-11,4112.15,20,3,2439.25
C185,Customer 185,Karachi,Premium,2025-02-05,6377.22,13,3,2882.03
C186,Customer 186,Islamabad,Standard,2024-08-05,0.0,0,0,0.0
C187,Customer 187,Lahore,Standard,2024-07-15,3500.81,8,2,1625.28
C188,Customer 188,Karachi,Standard,2023-10-21,4454.32,2,2,1659.01
C189,Customer 189,Faisalabad,Premium,2024-08-16,3589.41,3,2,1406.29
C190,Customer 190,Peshawar,Standard,2023-11-26,10104.18,19,3,4486.46
C191,Customer 191,Karachi,Premium,2024-03-28,5155.9,10,2,2304.56
C192,Customer 192,Karachi,Premium,2024-04-29,4880.79,4,2,1908.28
C193,Customer 193,Islamabad,Premium,2023-03-28,0.0,0,0,0.0
C194,Customer 194,Faisalabad,Standard,2024-11-10,5750.59,11,2,2562.71
C195,Customer 195,Karachi,Premium,2023-04-06,6851.05,14,3,3097.87
C196,Customer 196,Karachi,Budget,2023-11-14,11794.93,17,4,4978.23
C197,Customer 197,Lahore,Budget,2023-05-31,3822.85,2,1,1438.0
C198,Customer 198,Peshawar,Premium,2023-09-08,2590.78,10,3,1406.77
C199,Customer 199,Lahore,Standard,2025-02-25,1196.22,3,1,568.68
C200,Customer 200,Faisalabad,Budget,2024-02-29,5551.48,6,2,2243.02
C201,Customer 201,Peshawar,Standard,2025-01-05,7892.67,16,4,3562.43
C202,Customer 202,Karachi,Budget,2024-02-14,3616.26,3,2,1415.69
C203,Customer 203,Lahore,Budget,2024-11-02,10528.59,14,4,4385.01
C204,Customer 204,Peshawar,Budget,2025-03-08,890.02,3,1,461.51
C205,Customer 205,Faisalabad,Standard,2023-06-30,4457.83,4,2,1760.24
C206,Customer 206,Faisalabad,Budget,2023-02-21,8701.15,18,2,3945.4
C207,Customer 207,Peshawar,Budget,2023-05-05,1537.95,4,1,738.28
C208,Customer 208,Faisalabad,Premium,2024-04-20,7556.94,16,4,3444.93
C209,Customer 209,Islamabad,Standard,2024-09-01,3842.35,8,2,1744.82
C210,Customer 210,Faisalabad,Standard,2024-09-19,4087.26,6,2,1730.54
C211,Customer 211,Peshawar,Budget,2024-07-15,3657.41,9,2,1730.09
C212,Customer 212,Peshawar,Standard,2025-01-31,3503.53,8,2,1626.24
C213,Customer 213,Karachi,Premium,2023-09-23,4160.89,9,3,1906.31
C214,Customer 214,Faisalabad,Standard,2023-10-11,1456.13,5,1,759.65
C215,Customer 215,Karachi,Standard,2024-10-03,0.0,0,0,0.0
C216,Customer 216,Lahore,Premium,2024-03-26,1049.38,4,1,567.28
C217,Customer 217,Karachi,Standard,2023-10-20,7260.35,11,4,3091.12
C218,Customer 218,Islamabad,Premium,2023-12-10,661.39,1,1,281.49
C219,Customer 219,Karachi,Budget,2023-03-24,0.0,0,0,0.0
C220,Customer 220,Peshawar,Premium,2023-08-25,5502.96,4,2,2126.04
C221,Customer 221,Karachi,Budget,2023-06-06,11960.37,26,4,5486.13
C222,Customer 222,Peshawar,Standard,2024-02-29,4006.65,11,2,1952.33
C223,Customer 223,Peshawar,Standard,2024-07-09,5977.27,10,3,2592.04
C224,Customer 224,Karachi,Standard,2023-03-05,3487.27,13,4,1870.54
C225,Customer 225,Faisalabad,Premium,2024-02-03,3498.63,6,2,1524.52
C226,Customer 226,Faisalabad,Standard,2023-01-21,3989.64,8,3,1796.37
C227,Customer 227,Lahore,Standard,2024-05-03,839.24,5,1,543.73
C228,Customer 228,Peshawar,Standard,2023-11-02,8481.27,10,3,3468.44
C229,Customer 229,Faisalabad,Premium,2024-07-05,0.0,0,0,0.0
C230,Customer 230,Peshawar,Budget,2023-08-14,954.76,5,1,584.17
C231,Customer 231,Peshawar,Standard,2023-10-07,277.76,4,1,297.22
C232,Customer 232,Peshawar,Standard,2023-01-30,5694.5,6,2,2293.07
C233,Customer 233,Peshawar,Premium,2024-11-15,4361.62,9,2,1976.57
C234,Customer 234,Peshawar,Budget,2023-06-19,3147.01,6,3,1401.45
C235,Customer 235,Faisalabad,Budget,2024-09-29,1334.21,5,2,716.97
C236,Customer 236,Faisalabad,Premium,2024-02-08,1843.01,2,2,745.05
C237,Customer 237,Lahore,Budget,2024-11-09,1368.99,4,1,679.15
C238,Customer 238,Peshawar,Budget,2024-10-20,4727.03,9,2,2104.46
C239,Customer 239,Karachi,Budget,2024-04-17,3322.79,11,2,1712.98
C240,Customer 240,Peshawar,Standard,2023-09-24,5201.22,7,3,2170.43
C241,Customer 241,Peshawar,Standard,2023-08-05,0.0,0,0,0.0
C242,Customer 242,Peshawar,Standard,2023-12-12,967.44,3,1,488.6
C243,Customer 243,Peshawar,Standard,2025-02-09,8349.37,10,3,3422.28
C244,Customer 244,Peshawar,Budget,2023-03-25,2111.25,7,3,1088.94
C245,Customer 245,Faisalabad,Budget,2025-02-06,343.61,5,1,370.26
C246,Customer 246,Karachi,Premium,2023-12-25,1032.82,5,1,611.49
C247,Customer 247,Lahore,Budget,2023-03-12,6779.17,5,3,2622.71
C248,Customer 248,Karachi,Budget,2023-09-11,2429.81,3,2,1000.43
C249,Customer 249,Karachi,Budget,2024-09-28,894.19,4,1,512.97
C250,Customer 250,Peshawar,Premium,2023-05-10,7905.37,15,3,3516.88
