customer_id,customer_name,region,customer_segment,signup_date
C047,Customer 47,Peshawar,Premium,2023-06-13
C048,Customer 48,Peshawar,Standard,2023-03-07
C049,Customer 49,Peshawar,Premium,2024-09-02
C050,Customer 50,Faisalabad,Budget,2023-09-15
C051,Customer 51,Lahore,Premium,2024-11-27
C052,Customer 52,Islamabad,Premium,2024-07-03
C053,Customer 53,Lahore,Standard,2023-12-15
C054,Customer 54,Karachi,Standard,2024-03-21
C055,Customer 55,Islamabad,Premium,2023-01-04
C056,Customer 56,Karachi,Premium,2025-02-19
C057,Customer 57,Islamabad,Premium,2023-04-19
C058,Customer 58,Faisalabad,Budget,2024-06-03
C059,Customer 59,Islamabad,Budget,2023-06-06
C060,Customer 60,Faisalabad,Budget,2024-07-06
C061,Customer 61,Islamabad,Standard,2024-09-05
C062,Customer 62,Lahore,Standard,2023-01-20
C063,Customer 63,Karachi,Budget,2023-11-11
C064,Customer 64,Faisalabad,Budget,2023-09-04
C065,Customer 65,Peshawar,Budget,2023-03-29
C066,Customer 66,Faisalabad,Budget,2025-02-17
C067,Customer 67,Peshawar,Premium,2023-05-12
C068,Customer 68,Islamabad,Premium,2023-06-19
C069,Customer 69,Peshawar,Budget,2024-09-13
C070,Customer 70,Karachi,Premium,2024-07-06
C071,Customer 71,Peshawar,Premium,2023-11-16
C072,Customer 72,Islamabad,Standard,2024-10-27
C073,Customer 73,Peshawar,Budget,2024-06-13
C074,Customer 74,Karachi,Budget,2023-09-11
C075,Customer 75,Lahore,Premium,2023-12-13
C076,Customer 76,Karachi,Premium,2024-07-21
C077,Customer 77,Lahore,Budget,2023-08-14
C078,Customer 78,Lahore,Budget,2024-12-25
C079,Customer 79,Lahore,Standard,2023-03-11
C080,Customer 80,Faisalabad,Budget,2023-03-14
C081,Customer 81,Peshawar,Budget,2023-10-13
C082,Customer 82,Karachi,Premium,2024-07-06
C083,Customer 83,Faisalabad,Standard,2024-08-07
C084,Customer 84,Peshawar,Standard,2023-09-06
C085,Customer 85,Lahore,Budget,2023-07-14
C086,Customer 86,Peshawar,Standard,2024-11-05
C087,Customer 87,Peshawar,Standard,2024-03-09
C088,Customer 88,Lahore,Premium,2025-01-16
C089,Customer 89,Lahore,Budget,2024-10-31
C090,Customer 90,Islamabad,Budget,2024-02-17
C091,Customer 91,Karachi,Budget,2023-09-12
C092,Customer 92,Peshawar,Budget,2024-07-03
C093,Customer 93,Karachi,Standard,2024-03-08
C094,Customer 94,Karachi,Budget,2024-04-18
C095,Customer 95,Faisalabad,Budget,2024-03-29
C096,Customer 96,Faisalabad,Budget,2023-02-21
C097,Customer 97,Karachi,Budget,2023-04-06
C098,Customer 98,Peshawar,Standard,2024-02-21
C099,Customer 99,Peshawar,Budget,2023-08-07
C100,Customer 100,Peshawar,Budget,2023-06-18
C101,Customer 101,Islamabad,Standard,2024-02-04
C102,Customer 102,Peshawar,Premium,2023-10-20
C103,Customer 103,Faisalabad,Premium,2025-01-18
C104,Customer 104,Peshawar,Budget,2025-01-05
C105,Customer 105,Islamabad,Budget,2023-07-14
C106,Customer 106,Faisalabad,Premium,2023-03-01
C107,Customer 107,Lahore,Premium,2024-07-09
C108,Customer 108,Lahore,Budget,2023-11-18
C109,Customer 109,Peshawar,Premium,2024-08-21
C110,Customer 110,Karachi,Budget,2024-06-27
C111,Customer 111,Lahore,Budget,2024-06-04
C112,Customer 112,Faisalabad,Budget,2023-03-12
C113,Customer 113,Karachi,Standard,2024-11-22
C114,Customer 114,Faisalabad,Budget,2023-05-03
C115,Customer 115,Faisalabad,Budget,2024-08-15
C116,Customer 116,Lahore,Standard,2024-09-26
C117,Customer 117,Faisalabad,Premium,2024-11-04
C118,Customer 118,Islamabad,Standard,2024-06-19
C119,Customer 119,Islamabad,Budget,2023-07-29
C120,Customer 120,Peshawar,Budget,2023-09-29
C121,Customer 121,Islamabad,Standard,2024-11-18
C122,Customer 122,Lahore,Budget,2023-11-20
C123,Customer 123,Faisalabad,Premium,2024-04-14
C124,Customer 124,Lahore,Premium,2023-04-13
C125,Customer 125,Faisalabad,Standard,2023-08-07
C126,Customer 126,Islamabad,Budget,2023-05-16
C127,Customer 127,Islamabad,Standard,2023-09-08
C128,Customer 128,Peshawar,Premium,2023-06-11
C129,Customer 129,Islamabad,Premium,2024-12-21
C130,Customer 130,Faisalabad,Budget,2024-10-31
C131,Customer 131,Faisalabad,Standard,2024-11-14
C132,Customer 132,Lahore,Budget,2024-11-10
C133,Customer 133,Lahore,Budget,2023-09-28
C134,Customer 134,Faisalabad,Budget,2025-01-30
C135,Customer 135,Islamabad,Premium,2023-10-06
C136,Customer 136,Islamabad,Budget,2023-08-04
C137,Customer 137,Islamabad,Premium,2024-12-04
C138,Customer 138,Islamabad,Budget,2024-05-15
C139,Customer 139,Peshawar,Standard,2023-04-05
C140,Customer 140,Lahore,Standard,2023-02-15
C141,Customer 141,Karachi,Premium,2025-02-28
C142,Customer 142,Karachi,Premium,2023-09-26
C143,Customer 143,Faisalabad,Premium,2024-03-28
C144,Customer 144,Faisalabad,Budget,2024-03-13
C145,Customer 145,Lahore,Premium,2023-04-25
C146,Customer 146,Faisalabad,Budget,2023-06-02
C147,Customer 147,Faisalabad,Premium,2024-01-14
C148,Customer 148,Peshawar,Budget,2023-06-01
C149,Customer 149,Islamabad,Standard,2023-02-12
C150,Customer 150,Islamabad,Budget,2023-02-10
C151,Customer 151,Karachi,Premium,2024-11-29
C152,Customer 152,Islamabad,Premium,2023-04-16
C153,Customer 153,Faisalabad,Premium,2024-02-21
C154,Customer 154,Karachi,Budget,2023-06-08
C155,Customer 155,Peshawar,Budget,2023-07-01
C156,Customer 156,Islamabad,Standard,2023-07-03
C157,Customer 157,Karachi,Standard,2024-11-16
C158,Customer 158,Lahore,Standard,2023-06-13
C159,Customer 159,Peshawar,Budget,2023-02-09
C160,Customer 160,Peshawar,Standard,2023-07-24
C161,Customer 161,Karachi,Budget,2023-11-09
C162,Customer 162,Karachi,Standard,2023-01-25
C163,Customer 163,Islamabad,Budget,2023-12-03
C164,Customer 164,Islamabad,Standard,2025-03-02
C165,Customer 165,Faisalabad,Standard,2024-10-18
C166,Customer 166,Faisalabad,Standard,2024-11-26
C167,Customer 167,Lahore,Standard,2023-01-29
C168,Customer 168,Faisalabad,Standard,2023-07-02
C169,Customer 169,Lahore,Premium,2023-02-09
C170,Customer 170,Islamabad,Premium,2024-03-20
C171,Customer 171,Peshawar,Premium,2023-11-18
C172,Customer 172,Lahore,Standard,2024-06-07
C173,Customer 173,Karachi,Standard,2024-08-13
C174,Customer 174,Peshawar,Budget,2023-02-15
C175,Customer 175,Faisalabad,Premium,2024-06-16
C176,Customer 176,Karachi,Standard,2025-01-06
C177,Customer 177,Lahore,Premium,2024-03-17
C178,Customer 178,Faisalabad,Standard,2023-12-05
C179,Customer 179,Lahore,Premium,2024-11-10
C180,Customer 180,Faisalabad,Standard,2023-11-04
C181,Customer 181,Peshawar,Standard,2024-11-13
C182,Customer 182,Islamabad,Premium,2024-02-17
C183,Customer 183,Karachi,Standard,2023-05-11
C184,Customer 184,Peshawar,Premium,2024-11-11
C185,Customer 185,Karachi,Premium,2025-02-05
C186,Customer 186,Islamabad,Standard,2024-08-05
C187,Customer 187,Lahore,Standard,2024-07-15
C188,Customer 188,Karachi,Standard,2023-10-21
C189,Customer 189,Faisalabad,Premium,2024-08-16
C190,Customer 190,Peshawar,Standard,2023-11-26
C191,Customer 191,Karachi,Premium,2024-03-28
C192,Customer 192,Karachi,Premium,2024-04-29
C193,Customer 193,Islamabad,Premium,2023-03-28
C194,Customer 194,Faisalabad,Standard,2024-11-10
C195,Customer 195,Karachi,Premium,2023-04-06
C196,Customer 196,Karachi,Budget,2023-11-14
C197,Customer 197,Lahore,Budget,2023-05-31
C198,Customer 198,Peshawar,Premium,2023-09-08
C199,Customer 199,Lahore,Standard,2025-02-25
C200,Customer 200,Faisalabad,Budget,2024-02-29
C201,Customer 201,Peshawar,Standard,2025-01-05
C202,Customer 202,Karachi,Budget,2024-02-14
C203,Customer 203,Lahore,Budget,2024-11-02
C204,Customer 204,Peshawar,Budget,2025-03-08
C205,Customer 205,Faisalabad,Standard,2023-06-30
C206,Customer 206,Faisalabad,Budget,2023-02-21
C207,Customer 207,Peshawar,Budget,2023-05-05
C208,Customer 208,Faisalabad,Premium,2024-04-20
C209,Customer 209,Islamabad,Standard,2024-09-01
C210,Customer 210,Faisalabad,Standard,2024-09-19
C211,Customer 211,Peshawar,Budget,2024-07-15
C212,Customer 212,Peshawar,Standard,2025-01-31
C213,Customer 213,Karachi,Premium,2023-09-23
C214,Customer 214,Faisalabad,Standard,2023-10-11
C215,Customer 215,Karachi,Standard,2024-10-03
C216,Customer 216,Lahore,Premium,2024-03-26
C217,Customer 217,Karachi,Standard,2023-10-20
C218,Customer 218,Islamabad,Premium,2023-12-10
C219,Customer 219,Karachi,Budget,2023-03-24
C220,Customer 220,Peshawar,Premium,2023-08-25
C221,Customer 221,Karachi,Budget,2023-06-06
C222,Customer 222,Peshawar,Standard,2024-02-29
C223,Customer 223,Peshawar,Standard,2024-07-09
C224,Customer 224,Karachi,Standard,2023-03-05
C225,Customer 225,Faisalabad,Premium,2024-02-03
C226,Customer 226,Faisalabad,Standard,2023-01-21
C227,Customer 227,Lahore,Standard,2024-05-03
C228,Customer 228,Peshawar,Standard,2023-11-02
C229,Customer 229,Faisalabad,Premium,2024-07-05
C230,Customer 230,Peshawar,Budget,2023-08-14
C231,Customer 231,Peshawar,Standard,2023-10-07
C232,Customer 232,Peshawar,Standard,2023-01-30
C233,Customer 233,Peshawar,Premium,2024-11-15
C234,Customer 234,Peshawar,Budget,2023-06-19
C235,Customer 235,Faisalabad,Budget,2024-09-29
C236,Customer 236,Faisalabad,Premium,2024-02-08
C237,Customer 237,Lahore,Budget,2024-11-09
C238,Customer 238,Peshawar,Budget,2024-10-20
C239,Customer 239,Karachi,Budget,2024-04-17
C240,Customer 240,Peshawar,Standard,2023-09-24
C241,Customer 241,Peshawar,Standard,2023-08-05
C242,Customer 242,Peshawar,Standard,2023-12-12
C243,Customer 243,Peshawar,Standard,2025-02-09
C244,Customer 244,Peshawar,Budget,2023-03-25
C245,Customer 245,Faisalabad,Budget,2025-02-06
C246,Customer 246,Karachi,Premium,2023-12-25
C247,Customer 247,Lahore,Budget,2023-03-12
C248,Customer 248,Karachi,Budget,2023-09-11
C249,Customer 249,Karachi,Budget,2024-09-28
C250,Customer 250,Peshawar,Premium,2023-05-10
