sale_id,product_id,customer_id,sale_date,quantity_sold,selling_price,region
S0055,P004,C074,2024-09-30,5,2331.88,Peshawar
S0056,P012,C162,2025-05-11,1,725.77,Faisalabad
S0057,P004,C004,2025-12-27,2,2444.22,Faisalabad
S0058,P007,C234,2024-04-05,2,2525.74,Lahore
S0059,P008,C184,2024-04-30,2,922.13,Islamabad
S0060,P009,C124,2025-12-23,3,702.71,Peshawar
S0061,P004,C049,2025-04-12,5,2340.4,Faisalabad
S0062,P009,C071,2026-02-03,2,781.2,Peshawar
S0063,P006,C073,2025-06-03,3,1326.16,Islamabad
S0064,P010,C115,2025-08-16,4,2009.37,Faisalabad
S0065,P008,C140,2024-12-19,3,934.18,Peshawar
S0066,P008,C062,2024-11-25,2,1030.67,Faisalabad
S0067,P007,C191,2024-08-27,4,2004.01,Peshawar
S0068,P012,C203,2025-01-25,4,917.68,Karachi
S0069,P008,C152,2024-02-07,2,923.02,Islamabad
S0070,P002,C117,2025-03-26,1,1547.23,Lahore
S0071,P012,C249,2024-05-27,4,894.19,Karachi
S0072,P002,C178,2025-04-25,3,1476.96,Peshawar
S0073,P011,C220,2024-03-23,3,1780.94,Faisalabad
S0074,P007,C010,2024-11-20,4,2459.81,Faisalabad
S0075,P002,C192,2024-08-28,3,1724.03,Lahore
S0076,P007,C178,2024-04-10,1,2224.02,Islamabad
S0077,P001,C076,2024-02-17,3,1099.04,Islamabad
S0078,P006,C106,2025-03-17,2,1153.26,Faisalabad
S0079,P011,C157,2024-07-03,2,1510.03,Peshawar
S0080,P010,C150,2025-11-30,2,1843.95,Karachi
S0081,P004,C171,2025-04-17,3,2537.23,Lahore
S0082,P008,C114,2024-10-21,5,845.54,Islamabad
S0083,P010,C117,2024-11-02,4,1930.64,Islamabad
S0084,P004,C098,2025-01-28,4,2316.66,Faisalabad
S0085,P006,C076,2025-08-11,3,1377.81,Lahore
S0086,P011,C222,2025-02-09,3,1443.24,Lahore
S0087,P010,C232,2026-02-02,4,1994.78,Islamabad
S0088,P004,C049,2025-09-13,3,2386.88,Faisalabad
S0089,P005,C232,2025-11-25,2,3699.72,Lahore
S0090,P005,C188,2025-03-27,1,3657.13,Karachi
S0091,P002,C045,2024-10-29,3,1630.31,Karachi
S0092,P003,C234,2025-07-06,3,309.81,Islamabad
S0093,P003,C076,2024-09-20,4,342.55,Islamabad
S0094,P002,C248,2025-04-24,1,1402.78,Karachi
S0095,P011,C206,2026-01-11,4,1826.91,Faisalabad
S0096,P006,C138,2024-04-02,4,1084.18,Lahore
S0097,P008,C211,2025-01-12,3,941.53,Islamabad
S0098,P002,C159,2025-11-22,2,1526.8,Faisalabad
S0099,P006,C163,2025-09-16,2,1274.3,Peshawar
S0100,P012,C012,2024-11-05,4,743.34,Lahore
S0101,P005,C228,2025-05-19,1,3235.04,Faisalabad
S0102,P003,C244,2025-02-01,4,297.83,Faisalabad
S0103,P007,C168,2025-08-24,2,2466.98,Lahore
S0104,P008,C072,2025-09-22,4,1021.29,Lahore
S0105,P012,C244,2025-01-14,2,808.68,Karachi
S0106,P006,C166,2024-04-11,3,1243.34,Islamabad
S0107,P001,C032,2025-02-11,3,947.45,Peshawar
S0108,P002,C153,2025-11-09,2,1590.64,Lahore
S0109,P001,C202,2024-12-07,2,1147.21,Faisalabad
S0110,P004,C056,2024-03-11,5,2379.47,Karachi
S0111,P006,C153,2026-03-03,2,1316.59,Lahore
S0112,P005,C205,2024-05-28,2,3622.69,Karachi
S0113,P002,C092,2025-11-07,1,1399.43,Karachi
S0114,P010,C014,2024-11-27,1,1698.41,Karachi
S0115,P012,C017,2025-03-07,5,742.73,Peshawar
S0116,P008,C028,2026-03-07,3,925.48,Peshawar
S0117,P009,C201,2024-08-14,5,637.59,Faisalabad
S0118,P005,C123,2025-04-14,1,3203.22,Peshawar
S0119,P007,C233,2025-12-03,1,2249.65,Peshawar
S0120,P002,C017,2024-03-23,3,1578.11,Karachi
S0121,P005,C084,2025-10-01,5,3629.81,Peshawar
S0122,P010,C155,2025-06-27,3,1824.17,Peshawar
S0123,P002,C167,2025-12-19,1,1669.8,Faisalabad
S0124,P012,C059,2024-08-08,4,810.31,Peshawar
S0125,P006,C025,2025-04-09,4,1204.8,Islamabad
S0126,P007,C040,2024-11-16,3,2185.87,Peshawar
S0127,P002,C025,2024-04-03,1,1384.96,Islamabad
S0128,P003,C144,2025-07-23,1,313.98,Faisalabad
S0129,P006,C224,2025-11-17,1,1203.24,Peshawar
S0130,P012,C091,2024-02-22,3,840.08,Lahore
S0131,P010,C124,2025-06-03,2,1689.63,Karachi
S0132,P002,C196,2024-12-24,5,1487.84,Islamabad
S0133,P010,C250,2024-08-19,4,2000.32,Faisalabad
S0134,P010,C238,2025-11-22,5,1631.81,Islamabad
S0135,P001,C080,2024-07-03,3,1075.67,Islamabad
S0136,P006,C145,2024-01-07,2,1340.96,Peshawar
S0137,P002,C136,2024-05-25,1,1384.41,Karachi
S0138,P007,C095,2025-03-05,4,2167.49,Islamabad
S0139,P012,C227,2024-11-28,5,839.24,Lahore
S0140,P003,C021,2024-06-10,5,273.73,Islamabad
S0141,P008,C114,2025-11-08,4,919.27,Peshawar
S0142,P005,C111,2024-08-08,5,3249.59,Lahore
S0143,P005,C171,2025-11-25,5,3575.8,Islamabad
S0144,P001,C015,2024-08-13,4,1146.11,Lahore
S0145,P004,C196,2024-11-04,2,2729.59,Islamabad
S0146,P005,C192,2024-12-01,1,3156.76,Peshawar
S0147,P003,C059,2024-05-12,4,309.94,Faisalabad
S0148,P009,C221,2025-11-15,3,642.61,Lahore
S0149,P007,C221,2024-01-20,4,2486.64,Islamabad
S0150,P010,C164,2025-03-15,5,1801.99,Peshawar
S0151,P005,C084,2024-04-27,4,3168.25,Karachi
S0152,P010,C217,2025-04-16,3,1659.66,Lahore
S0153,P004,C021,2025-03-22,5,2500.28,Peshawar
S0154,P005,C200,2026-02-02,3,3343.88,Karachi
S0155,P002,C050,2025-06-06,1,1548.98,Islamabad
S0156,P006,C038,2026-01-14,2,1150.88,Islamabad
S0157,P004,C195,2024-06-26,5,2345.54,Lahore
S0158,P003,C145,2026-03-02,4,304.8,Faisalabad
S0159,P008,C160,2025-11-28,5,954.67,Islamabad
S0160,P011,C121,2024-11-19,2,1615.91,Peshawar
S0161,P011,C091,2024-11-06,3,1676.57,Faisalabad
S0162,P002,C015,2024-11-13,4,1519.47,Islamabad
S0163,P005,C130,2024-03-19,1,3688.13,Peshawar
S0164,P008,C190,2025-08-17,5,1024.7,Lahore
S0165,P008,C122,2025-08-08,2,882.34,Faisalabad
S0166,P003,C231,2024-03-04,4,277.76,Islamabad
S0167,P012,C011,2024-03-27,5,849.23,Karachi
S0168,P012,C157,2025-03-24,4,824.81,Karachi
S0169,P006,C199,2025-01-16,3,1196.22,Islamabad
S0170,P011,C166,2025-09-04,1,1755.69,Islamabad
S0171,P002,C099,2024-12-03,1,1559.24,Islamabad
S0172,P005,C086,2026-01-11,5,3914.12,Lahore
S0173,P010,C080,2025-11-10,2,2032.54,Peshawar
S0174,P003,C097,2025-09-01,1,293.22,Islamabad
S0175,P003,C172,2025-11-17,5,277.01,Peshawar
S0176,P009,C047,2025-01-05,1,693.45,Karachi
S0177,P006,C036,2026-02-23,4,1137.6,Karachi
S0178,P002,C139,2024-10-29,1,1540.38,Faisalabad
S0179,P001,C159,2025-11-08,3,1119.1,Karachi
S0180,P010,C213,2025-01-20,2,1693.01,Faisalabad
S0181,P003,C094,2026-01-08,4,273.28,Karachi
S0182,P008,C201,2025-09-17,3,979.29,Peshawar
S0183,P004,C208,2025-06-30,2,2443.42,Peshawar
S0184,P004,C119,2025-01-11,5,2865.27,Islamabad
S0185,P007,C042,2025-05-29,5,2210.26,Karachi
S0186,P010,C124,2024-05-21,3,1643.48,Islamabad
S0187,P009,C073,2024-04-15,5,778.95,Lahore
S0188,P003,C038,2024-10-06,4,337.9,Peshawar
S0189,P002,C239,2024-08-15,4,1681.74,Lahore
S0190,P007,C061,2024-02-24,4,2256.1,Peshawar
S0191,P002,C239,2025-01-18,2,1360.57,Lahore
S0192,P012,C036,2025-10-27,3,878.28,Lahore
S0193,P005,C121,2025-04-28,2,3813.99,Peshawar
S0194,P010,C056,2024-01-06,1,1628.55,Karachi
S0195,P009,C029,2026-01-14,5,722.36,Islamabad
S0196,P004,C108,2024-11-04,1,2279.84,Faisalabad
S0197,P008,C128,2024-03-05,1,998.25,Faisalabad
S0198,P009,C184,2024-01-17,5,730.63,Karachi
S0199,P005,C062,2025-03-15,1,3687.96,Faisalabad
S0200,P007,C093,2024-07-10,1,2267.92,Lahore
S0201,P009,C130,2025-07-11,5,767.62,Faisalabad
S0202,P001,C100,2025-02-03,4,910.88,Islamabad
S0203,P005,C018,2026-02-04,1,3462.46,Islamabad
S0204,P004,C189,2026-01-20,1,2732.19,Islamabad
S0205,P003,C209,2024-02-15,3,310.95,Karachi
S0206,P011,C208,2025-04-20,4,1692.69,Karachi
S0207,P002,C052,2026-01-03,4,1363.87,Lahore
S0208,P004,C132,2024-02-12,3,2833.36,Peshawar
S0209,P009,C166,2025-04-29,3,636.41,Karachi
S0210,P005,C085,2024-12-31,1,3907.57,Islamabad
S0211,P002,C191,2025-01-11,4,1683.56,Peshawar
S0212,P007,C128,2024-12-13,2,2252.91,Islamabad
S0213,P009,C021,2024-09-30,1,757.24,Peshawar
S0214,P010,C027,2024-07-03,5,1752.19,Lahore
S0215,P006,C155,2025-11-07,3,1171.95,Peshawar
S0216,P003,C011,2025-12-07,4,296.37,Islamabad
S0217,P010,C203,2025-03-21,3,1907.76,Lahore
S0218,P002,C206,2025-11-18,4,1486.24,Karachi
S0219,P001,C113,2024-05-26,5,1069.52,Lahore
S0220,P003,C094,2024-03-09,2,328.39,Islamabad
S0221,P007,C174,2025-08-03,1,2312.8,Peshawar
S0222,P006,C147,2025-01-15,4,1308.93,Karachi
S0223,P009,C072,2025-01-10,4,685.02,Karachi
S0224,P002,C100,2024-01-27,2,1537.14,Faisalabad
S0225,P002,C055,2024-09-25,3,1614.01,Faisalabad
S0226,P005,C035,2025-12-11,4,3325.16,Lahore
S0227,P008,C208,2024-06-25,4,1034.38,Islamabad
S0228,P011,C075,2024-12-21,1,1660.0,Islamabad
S0229,P003,C131,2025-12-29,2,329.53,Karachi
S0230,P002,C127,2024-07-24,2,1438.78,Lahore
S0231,P006,C206,2025-07-21,5,1190.67,Faisalabad
S0232,P003,C102,2025-09-18,1,274.93,Peshawar
S0233,P009,C019,2025-02-24,4,774.08,Karachi
S0234,P006,C175,2025-10-19,1,1214.99,Faisalabad
S0235,P006,C047,2024-05-11,5,1271.94,Karachi
S0236,P007,C133,2025-05-29,1,2437.26,Karachi
S0237,P005,C182,2024-06-17,2,3432.33,Karachi
S0238,P006,C065,2025-06-15,3,1333.78,Karachi
S0239,P011,C078,2025-07-18,3,1490.07,Faisalabad
S0240,P009,C152,2024-04-05,5,742.17,Faisalabad
S0241,P003,C155,2024-06-24,5,324.05,Islamabad
S0242,P010,C243,2024-02-12,1,1656.55,Faisalabad
S0243,P005,C107,2025-10-28,2,3821.09,Faisalabad
S0244,P011,C140,2024-02-01,4,1795.6,Islamabad
S0245,P011,C207,2024-11-05,4,1537.95,Peshawar
S0246,P005,C041,2025-04-09,1,3752.54,Peshawar
S0247,P007,C156,2025-05-10,4,2092.21,Karachi
S0248,P006,C221,2026-01-05,3,1300.26,Islamabad
S0249,P007,C028,2024-05-13,3,2263.24,Islamabad
S0250,P004,C064,2025-04-22,1,2417.17,Karachi
S0251,P002,C222,2024-02-21,3,1704.52,Faisalabad
S0252,P007,C240,2024-09-11,2,2427.41,Faisalabad
S0253,P012,C128,2024-11-16,2,872.62,Faisalabad
S0254,P008,C024,2025-05-25,3,921.91,Peshawar
S0255,P009,C091,2025-04-13,2,667.65,Lahore
S0256,P001,C216,2024-10-15,4,1049.38,Peshawar
S0257,P005,C111,2025-07-03,1,3891.28,Karachi
S0258,P005,C094,2026-01-14,3,3818.37,Lahore
S0259,P007,C093,2024-02-22,5,2289.0,Faisalabad
S0260,P005,C196,2024-03-16,4,3591.22,Faisalabad
S0261,P005,C250,2025-09-30,5,3253.96,Lahore
S0262,P007,C094,2025-01-17,3,2286.81,Karachi
S0263,P004,C011,2025-09-08,5,2500.87,Lahore
S0264,P001,C133,2024-05-20,3,1100.99,Peshawar
S0265,P003,C239,2025-09-12,5,280.48,Faisalabad
S0266,P006,C190,2024-06-15,4,1377.18,Islamabad
S0267,P010,C137,2024-12-10,5,1992.73,Peshawar
S0268,P012,C005,2025-07-30,3,814.98,Islamabad
S0269,P006,C150,2025-11-20,1,1373.97,Islamabad
S0270,P012,C068,2025-12-05,1,839.38,Faisalabad
S0271,P010,C044,2024-08-21,1,1882.59,Faisalabad
S0272,P011,C098,2026-01-08,5,1749.84,Karachi
S0273,P011,C180,2024-09-05,1,1669.03,Lahore
S0274,P004,C039,2024-01-20,4,2446.06,Peshawar
S0275,P012,C157,2024-07-27,4,820.36,Peshawar
S0276,P012,C133,2026-01-14,1,861.16,Karachi
S0277,P009,C081,2024-11-28,4,721.96,Karachi
S0278,P008,C174,2025-06-29,3,932.91,Islamabad
S0279,P010,C072,2025-05-10,2,2050.8,Faisalabad
S0280,P005,C181,2024-08-18,3,3824.78,Karachi
S0281,P012,C090,2025-12-22,4,783.41,Faisalabad
S0282,P012,C174,2024-10-07,3,744.37,Faisalabad
S0283,P007,C206,2025-02-08,3,2505.03,Karachi
S0284,P005,C021,2024-02-13,3,3985.9,Islamabad
S0285,P008,C055,2025-11-02,3,978.15,Karachi
S0286,P009,C036,2024-10-04,5,751.83,Lahore
S0287,P010,C013,2026-01-28,5,1727.68,Faisalabad
S0288,P004,C106,2025-10-15,2,2282.81,Islamabad
S0289,P012,C036,2025-04-28,1,856.24,Lahore
S0290,P009,C226,2024-06-10,4,744.26,Peshawar
S0291,P008,C074,2025-10-28,2,980.08,Islamabad
S0292,P005,C023,2025-10-23,1,3944.44,Faisalabad
S0293,P004,C045,2025-07-01,1,2820.77,Peshawar
S0294,P003,C048,2024-02-07,4,329.1,Islamabad
S0295,P001,C028,2024-01-10,3,1041.99,Islamabad
S0296,P005,C228,2025-04-10,5,3608.78,Karachi
S0297,P009,C029,2025-04-24,3,663.74,Islamabad
S0298,P003,C184,2026-01-18,4,318.62,Karachi
S0299,P001,C146,2026-01-24,3,1097.69,Karachi
S0300,P003,C132,2025-09-17,4,332.02,Islamabad
S0301,P002,C036,2025-02-14,1,1419.29,Peshawar
S0302,P006,C061,2024-09-11,1,1158.24,Peshawar
S0303,P005,C147,2024-12-03,3,3659.65,Lahore
S0304,P005,C016,2025-10-31,3,3756.17,Lahore
S0305,P008,C129,2024-11-10,2,901.22,Islamabad
S0306,P012,C057,2024-04-30,3,793.51,Karachi
S0307,P003,C156,2025-05-04,2,304.12,Islamabad
S0308,P007,C194,2025-12-19,5,2482.04,Faisalabad
S0309,P011,C153,2024-08-11,2,1712.14,Lahore
S0310,P009,C020,2025-04-02,5,753.16,Faisalabad
S0311,P002,C052,2024-03-04,5,1688.58,Faisalabad
S0312,P009,C134,2024-06-02,2,687.42,Peshawar
S0313,P002,C126,2025-11-27,2,1618.84,Lahore
S0314,P009,C132,2025-04-01,1,709.35,Peshawar
S0315,P008,C173,2025-07-31,1,935.73,Islamabad
S0316,P012,C001,2024-01-23,4,770.89,Karachi
S0317,P010,C180,2024-03-15,1,1810.66,Lahore
S0318,P009,C121,2024-03-02,1,802.57,Lahore
S0319,P005,C197,2025-02-22,2,3822.85,Peshawar
S0320,P006,C233,2025-01-26,4,1340.89,Peshawar
S0321,P007,C221,2024-03-23,5,2053.14,Islamabad
S0322,P002,C033,2024-07-01,5,1497.4,Karachi
S0323,P001,C119,2026-02-13,1,1144.62,Faisalabad
S0324,P007,C064,2025-06-28,4,2432.85,Peshawar
S0325,P006,C225,2024-06-07,3,1136.54,Lahore
S0326,P001,C240,2025-11-07,4,1053.73,Lahore
S0327,P004,C009,2024-07-30,1,2313.06,Peshawar
S0328,P010,C012,2025-11-19,1,1730.13,Peshawar
S0329,P008,C222,2024-08-27,5,858.89,Lahore
S0330,P003,C235,2025-05-30,3,287.56,Faisalabad
S0331,P006,C210,2025-08-14,5,1311.76,Islamabad
S0332,P004,C134,2024-11-05,2,2866.06,Karachi
S0333,P007,C243,2024-11-03,3,2013.53,Faisalabad
S0334,P012,C013,2024-06-28,4,831.17,Islamabad
S0335,P011,C082,2025-11-18,4,1754.32,Peshawar
S0336,P007,C194,2024-06-01,3,2187.05,Faisalabad
S0337,P008,C182,2024-09-03,2,877.67,Karachi
S0338,P008,C107,2024-02-29,5,902.85,Faisalabad
S0339,P009,C053,2024-05-17,4,672.5,Islamabad
S0340,P011,C024,2024-03-21,4,1778.85,Faisalabad
S0341,P012,C173,2024-07-14,1,773.69,Faisalabad
S0342,P010,C195,2024-02-10,1,1704.67,Faisalabad
S0343,P012,C054,2025-11-18,5,763.4,Islamabad
S0344,P005,C247,2024-01-16,2,3970.01,Lahore
S0345,P012,C179,2026-02-11,4,902.89,Faisalabad
S0346,P012,C142,2024-07-28,4,903.03,Islamabad
S0347,P005,C092,2025-01-24,4,3616.94,Islamabad
S0348,P005,C120,2025-01-03,5,3922.46,Lahore
S0349,P012,C095,2025-04-25,3,902.87,Islamabad
S0350,P007,C190,2024-02-16,5,2455.25,Karachi
S0351,P001,C149,2024-09-24,5,1133.69,Peshawar
S0352,P005,C098,2024-06-05,2,3438.63,Faisalabad
S0353,P004,C176,2025-05-26,5,2659.13,Islamabad
S0354,P005,C165,2026-02-20,4,3995.69,Peshawar
S0355,P008,C185,2024-06-21,3,848.08,Faisalabad
S0356,P008,C246,2024-07-07,5,1032.82,Lahore
S0357,P009,C172,2024-02-04,1,795.41,Lahore
S0358,P001,C060,2025-02-26,2,1110.64,Lahore
S0359,P012,C117,2024-06-03,1,763.74,Islamabad
S0360,P001,C169,2025-09-24,5,1128.19,Peshawar
S0361,P001,C004,2024-01-07,5,1037.91,Lahore
S0362,P009,C074,2026-01-09,3,723.75,Lahore
S0363,P009,C233,2025-12-15,4,771.08,Karachi
S0364,P002,C050,2024-04-08,5,1405.84,Faisalabad
S0365,P009,C102,2024-09-15,3,676.78,Lahore
S0366,P006,C179,2025-02-19,4,1249.5,Karachi
S0367,P005,C220,2025-12-01,1,3722.02,Lahore
S0368,P002,C122,2025-02-19,4,1491.44,Lahore
S0369,P011,C217,2024-01-10,2,1473.07,Peshawar
S0370,P011,C250,2024-12-05,5,1830.93,Lahore
S0371,P009,C223,2024-02-13,2,667.0,Faisalabad
S0372,P008,C176,2024-10-04,1,1017.94,Islamabad
S0373,P009,C218,2025-07-31,1,661.39,Islamabad
S0374,P001,C211,2024-07-31,5,936.05,Peshawar
S0375,P002,C146,2024-11-02,2,1561.48,Peshawar
S0376,P011,C190,2025-07-07,3,1593.54,Karachi
S0377,P012,C250,2026-01-11,1,820.16,Islamabad
S0378,P001,C020,2024-04-10,4,958.04,Islamabad
S0379,P010,C102,2026-02-26,5,2049.69,Islamabad
S0380,P001,C116,2025-10-11,3,1095.89,Peshawar
S0381,P004,C111,2024-12-30,5,2838.21,Karachi
S0382,P011,C159,2025-08-22,4,1474.28,Islamabad
S0383,P004,C040,2025-12-31,1,2301.27,Peshawar
S0384,P012,C082,2025-10-11,2,867.93,Islamabad
S0385,P002,C114,2024-04-03,1,1703.61,Islamabad
S0386,P005,C111,2024-04-14,2,3226.39,Peshawar
S0387,P009,C007,2025-07-22,5,701.41,Lahore
S0388,P006,C201,2025-07-21,1,1259.08,Islamabad
S0389,P007,C200,2024-01-13,3,2207.6,Lahore
S0390,P012,C044,2025-07-26,2,834.39,Peshawar
S0391,P003,C127,2024-05-22,3,292.58,Karachi
S0392,P002,C077,2024-06-20,4,1453.49,Peshawar
S0393,P002,C185,2025-01-04,3,1704.08,Peshawar
S0394,P010,C035,2025-09-23,2,1826.04,Islamabad
S0395,P001,C098,2025-02-09,3,1110.4,Islamabad
S0396,P008,C221,2024-12-08,4,993.48,Faisalabad
S0397,P003,C178,2024-11-03,3,315.24,Karachi
S0398,P008,C248,2024-11-17,2,1027.03,Islamabad
S0399,P005,C201,2026-01-22,4,3996.79,Karachi
S0400,P006,C101,2025-01-20,3,1324.95,Islamabad
S0401,P002,C140,2025-07-31,2,1572.09,Karachi
S0402,P011,C187,2026-02-25,5,1450.77,Peshawar
S0403,P012,C213,2024-08-02,4,879.54,Lahore
S0404,P007,C078,2025-11-20,4,2056.55,Karachi
S0405,P005,C203,2025-11-05,2,3775.83,Peshawar
S0406,P002,C103,2025-04-04,5,1529.71,Faisalabad
S0407,P009,C203,2025-12-09,4,725.14,Islamabad
S0408,P012,C022,2025-07-03,5,847.64,Lahore
S0409,P004,C157,2025-11-04,3,2353.96,Lahore
S0410,P010,C085,2025-10-22,4,2055.07,Peshawar
S0411,P002,C131,2024-01-11,1,1447.03,Faisalabad
S0412,P009,C096,2025-08-17,5,668.68,Peshawar
S0413,P008,C039,2026-03-01,5,965.35,Islamabad
S0414,P001,C236,2025-05-09,1,973.86,Lahore
S0415,P002,C088,2026-01-17,2,1480.62,Peshawar
S0416,P004,C025,2025-06-17,4,2467.69,Peshawar
S0417,P012,C077,2025-12-14,4,783.78,Lahore
S0418,P012,C166,2024-04-27,1,889.84,Lahore
S0419,P011,C142,2024-06-17,2,1646.4,Karachi
S0420,P006,C060,2025-07-27,4,1367.54,Peshawar
S0421,P011,C111,2024-07-07,2,1696.19,Peshawar
S0422,P001,C116,2026-01-25,5,1120.77,Faisalabad
S0423,P007,C053,2025-02-02,1,2367.6,Islamabad
S0424,P012,C224,2024-03-05,5,740.35,Faisalabad
S0425,P003,C030,2025-01-09,3,284.78,Islamabad
S0426,P011,C081,2025-05-16,5,1826.37,Faisalabad
S0427,P007,C090,2025-09-17,4,2302.85,Islamabad
S0428,P008,C181,2025-09-24,2,993.09,Islamabad
S0429,P010,C081,2025-08-27,1,1922.45,Lahore
S0430,P004,C178,2024-11-08,1,2364.4,Karachi
S0431,P009,C148,2025-02-01,4,734.37,Peshawar
S0432,P007,C178,2024-07-09,4,2329.53,Karachi
S0433,P009,C048,2024-06-19,4,680.55,Islamabad
S0434,P008,C244,2025-09-26,1,1004.74,Lahore
S0435,P008,C247,2024-05-19,2,993.42,Faisalabad
S0436,P009,C126,2025-10-30,4,701.6,Peshawar
S0437,P012,C145,2025-03-30,4,753.45,Lahore
S0438,P004,C138,2024-10-26,1,2421.78,Islamabad
S0439,P003,C198,2026-03-10,4,312.42,Peshawar
S0440,P009,C069,2025-06-07,1,730.22,Faisalabad
S0441,P006,C113,2025-07-09,1,1308.0,Faisalabad
S0442,P004,C168,2025-03-11,1,2709.99,Karachi
S0443,P005,C221,2024-02-03,4,3379.96,Lahore
S0444,P008,C189,2024-04-30,2,857.22,Faisalabad
S0445,P012,C043,2024-12-25,5,846.55,Faisalabad
S0446,P003,C146,2024-07-30,2,330.41,Islamabad
S0447,P009,C083,2024-10-14,5,724.28,Islamabad
S0448,P005,C132,2025-08-09,3,3983.35,Lahore
S0449,P003,C071,2026-02-07,4,338.91,Karachi
S0450,P012,C083,2024-05-15,2,749.25,Karachi
S0451,P011,C162,2025-02-06,4,1496.87,Islamabad
S0452,P011,C163,2025-02-28,4,1620.8,Lahore
S0453,P007,C225,2025-06-11,3,2362.09,Islamabad
S0454,P008,C223,2025-05-14,3,940.94,Lahore
S0455,P012,C204,2025-04-14,3,890.02,Faisalabad
S0456,P007,C127,2024-08-11,4,2433.67,Islamabad
S0457,P006,C034,2024-10-17,3,1244.19,Faisalabad
S0458,P008,C161,2024-12-17,1,820.34,Peshawar
S0459,P001,C001,2024-05-07,2,1010.32,Peshawar
S0460,P004,C078,2025-12-06,2,2801.34,Karachi
S0461,P005,C096,2024-04-05,3,3369.09,Karachi
S0462,P001,C194,2025-02-09,3,1081.5,Karachi
S0463,P007,C001,2025-11-02,1,2367.03,Karachi
S0464,P008,C133,2024-03-20,2,943.58,Peshawar
S0465,P001,C221,2024-01-09,3,1104.28,Peshawar
S0466,P012,C099,2024-05-15,4,734.17,Lahore
S0467,P012,C226,2024-04-14,1,782.67,Islamabad
S0468,P003,C174,2025-01-26,2,318.12,Karachi
S0469,P002,C167,2025-06-27,5,1353.18,Karachi
S0470,P008,C039,2024-12-25,2,951.32,Peshawar
S0471,P010,C023,2025-12-04,4,2006.98,Lahore
S0472,P003,C099,2026-02-09,1,314.22,Islamabad
