product_id,inventory_date,average_inventory
P005,2025-10-31,49.28
P008,2024-11-10,57.13
P012,2024-04-30,68.05
P003,2025-05-04,109.49
P007,2025-12-19,75.88
P011,2024-08-11,67.18
P009,2025-04-02,100.69
P002,2024-03-04,77.27
P009,2024-06-02,71.48
P002,2025-11-27,72.04
P009,2025-04-01,67.15
P008,2025-07-31,63.0
P012,2024-01-23,104.76
P010,2024-03-15,51.35
P009,2024-03-02,105.3
P005,2025-02-22,24.58
P006,2025-01-26,58.72
P007,2024-03-23,107.05
P002,2024-07-01,89.66
P001,2026-02-13,101.46
P007,2025-06-28,112.42
P006,2024-06-07,104.1
P001,2025-11-07,47.63
P004,2024-07-30,100.74
P010,2025-11-19,90.54
P008,2024-08-27,83.03
P003,2025-05-30,132.91
P006,2025-08-14,93.49
P004,2024-11-05,84.42
P007,2024-11-03,67.37
P012,2024-06-28,64.07
P011,2025-11-18,82.09
P007,2024-06-01,102.07
P008,2024-09-03,86.9
P008,2024-02-29,59.32
P009,2024-05-17,93.52
P011,2024-03-21,62.93
P012,2024-07-14,97.23
P010,2024-02-10,95.92
P012,2025-11-18,74.69
P005,2024-01-16,72.36
P012,2026-02-11,58.25
P012,2024-07-28,93.36
P005,2025-01-24,88.73
P005,2025-01-03,80.01
P012,2025-04-25,57.96
P007,2024-02-16,63.08
P001,2024-09-24,71.98
P005,2024-06-05,102.44
P004,2025-05-26,87.99
P005,2026-02-20,108.75
P008,2024-06-21,98.09
P008,2024-07-07,74.17
P009,2024-02-04,93.39
P001,2025-02-26,84.75
P012,2024-06-03,55.41
P001,2025-09-24,87.23
P001,2024-01-07,63.47
P009,2026-01-09,64.53
P009,2025-12-15,62.52
P002,2024-04-08,53.52
P009,2024-09-15,105.46
P006,2025-02-19,102.17
P005,2025-12-01,83.23
P002,2025-02-19,97.99
P011,2024-01-10,104.86
P011,2024-12-05,34.71
P009,2024-02-13,73.66
P008,2024-10-04,103.46
P009,2025-07-31,78.18
P001,2024-07-31,74.15
P002,2024-11-02,85.65
P011,2025-07-07,89.44
P012,2026-01-11,73.39
P001,2024-04-10,48.71
P010,2026-02-26,101.5
P001,2025-10-11,97.11
P004,2024-12-30,97.65
P011,2025-08-22,122.64
P004,2025-12-31,62.72
P012,2025-10-11,93.78
P002,2024-04-03,86.23
P005,2024-04-14,48.85
P009,2025-07-22,96.13
P006,2025-07-21,92.96
P007,2024-01-13,114.14
P012,2025-07-26,63.04
P003,2024-05-22,50.82
P002,2024-06-20,61.79
P002,2025-01-04,52.09
P010,2025-09-23,88.97
P001,2025-02-09,90.35
P008,2024-12-08,77.08
P003,2024-11-03,55.41
P008,2024-11-17,80.18
P005,2026-01-22,124.64
P006,2025-01-20,94.06
P002,2025-07-31,92.16
P011,2026-02-25,60.51
P012,2024-08-02,34.98
P007,2025-11-20,77.64
P005,2025-11-05,91.61
P002,2025-04-04,103.59
P009,2025-12-09,78.72
P012,2025-07-03,69.59
P004,2025-11-04,59.41
P010,2025-10-22,97.61
P002,2024-01-11,97.54
P009,2025-08-17,64.08
P008,2026-03-01,38.25
P001,2025-05-09,116.97
P002,2026-01-17,109.28
P004,2025-06-17,62.91
P012,2025-12-14,72.4
P012,2024-04-27,130.92
P011,2024-06-17,101.59
P006,2025-07-27,75.95
P011,2024-07-07,93.8
P001,2026-01-25,95.34
P007,2025-02-02,69.74
P012,2024-03-05,48.4
P003,2025-01-09,70.59
P011,2025-05-16,109.64
P007,2025-09-17,100.22
P008,2025-09-24,55.78
P010,2025-08-27,106.01
P004,2024-11-08,68.84
P009,2025-02-01,88.5
P007,2024-07-09,106.66
P009,2024-06-19,75.36
P008,2025-09-26,97.81
P008,2024-05-19,53.55
P009,2025-10-30,30.15
P012,2025-03-30,50.39
P004,2024-10-26,39.19
P003,2026-03-10,49.22
P009,2025-06-07,79.25
P006,2025-07-09,75.65
P004,2025-03-11,88.9
P005,2024-02-03,66.29
P008,2024-04-30,98.32
P012,2024-12-25,53.21
P003,2024-07-30,67.26
P009,2024-10-14,51.16
P005,2025-08-09,96.45
P003,2026-02-07,88.92
P012,2024-05-15,66.22
P011,2025-02-06,100.87
P011,2025-02-28,50.23
P007,2025-06-11,75.52
P008,2025-05-14,79.36
P012,2025-04-14,98.21
P007,2024-08-11,103.58
P006,2024-10-17,90.31
P008,2024-12-17,111.67
P001,2024-05-07,88.73
P004,2025-12-06,93.93
P005,2024-04-05,79.87
P001,2025-02-09,118.25
P007,2025-11-02,73.9
P008,2024-03-20,64.42
P001,2024-01-09,80.12
P012,2024-05-15,74.88
P012,2024-04-14,83.64
P003,2025-01-26,71.44
P002,2025-06-27,102.16
P008,2024-12-25,55.81
P010,2025-12-04,101.76
P003,2026-02-09,55.27
P007,2024-11-18,66.35
P004,2025-07-20,74.47
P012,2024-01-28,87.66
P004,2026-02-04,45.01
P008,2025-01-30,73.07
P002,2025-06-24,108.74
P003,2025-01-31,97.73
P008,2026-02-27,71.17
P005,2024-08-08,132.56
P009,2024-10-20,65.34
P002,2025-10-17,70.28
P002,2024-11-13,103.41
P009,2024-11-30,95.17
P005,2025-12-16,81.24
P001,2024-09-07,54.68
P010,2025-09-15,56.05
P002,2024-01-13,105.79
P006,2025-06-19,52.57
P003,2025-01-15,106.53
P012,2024-04-30,63.51
P009,2024-03-06,59.88
P008,2025-04-11,53.15
P003,2025-01-11,53.96
P011,2026-01-10,72.15
P001,2024-01-13,88.44
P003,2024-07-02,29.06
P004,2024-11-25,76.57
P005,2024-03-20,92.02
P003,2024-08-16,74.72
P002,2025-04-21,68.27
P002,2025-07-20,91.07
P010,2024-11-07,101.32
P008,2026-03-02,64.83
P003,2024-01-07,94.75
P011,2025-12-11,70.1
P012,2026-01-14,76.32
P007,2025-05-18,66.74
P002,2024-02-14,72.27
P012,2025-01-16,64.75
P002,2025-06-01,107.51
P010,2025-08-04,86.51
P004,2024-10-25,89.55
P012,2026-01-23,77.15
P002,2024-07-26,85.8
P003,2024-04-18,105.2
P002,2025-07-02,68.6
P005,2025-04-19,67.79
P011,2024-11-07,60.24
P003,2024-04-03,63.1
P001,2025-11-24,71.7
P007,2025-04-08,83.71
P008,2024-04-14,62.91
P003,2024-07-21,82.39
P010,2025-08-23,92.52
P002,2024-07-21,101.58
P002,2024-02-13,89.85
P007,2026-01-11,58.56
P003,2024-12-28,92.51
P008,2024-06-01,91.85
P011,2024-10-29,87.72
P001,2024-03-30,84.1
P011,2025-06-22,97.49
P001,2025-01-26,71.0
P006,2025-08-02,90.77
P001,2024-11-22,80.41
P001,2025-04-28,55.41
P003,2024-04-12,117.25
P012,2024-02-27,79.21
P006,2024-06-26,82.64
P010,2024-01-29,79.69
P010,2024-07-11,69.41
P001,2024-04-02,61.03
P009,2025-05-04,102.77
P003,2024-12-14,64.42
P001,2024-01-23,43.41
P002,2025-06-22,45.15
P010,2024-04-13,72.76
P012,2025-03-23,63.96
P012,2025-09-20,121.6
P007,2024-11-10,55.72
P012,2025-08-09,61.21
P001,2024-07-05,96.39
P004,2025-10-16,70.98
P006,2026-02-02,123.09
P011,2024-03-31,88.49
P004,2025-12-10,62.57
P012,2024-01-02,87.08
P003,2025-02-27,59.46
P007,2024-04-13,121.15
P003,2025-04-07,91.63
P001,2024-11-22,88.49
P003,2025-01-19,102.47
P006,2025-08-31,91.47
P007,2025-10-31,76.13
P001,2024-04-13,103.92
P012,2025-07-21,73.26
P004,2024-04-08,87.35
P003,2024-02-25,80.34
P011,2025-10-02,63.46
P004,2024-06-23,49.76
P005,2025-02-11,93.89
P002,2025-10-19,64.23
P006,2024-07-10,99.73
P005,2024-08-19,95.1
P002,2025-11-15,64.0
P004,2025-07-20,27.7
P007,2025-07-02,84.55
P005,2024-03-21,51.52
P009,2025-08-07,110.81
P003,2024-05-03,67.75
P004,2024-05-09,92.61
P004,2025-10-04,98.24
P012,2024-03-09,75.8
P006,2024-10-09,87.46
P012,2025-09-30,113.52
P007,2024-06-02,91.89
P002,2025-07-30,55.56
P006,2025-02-24,70.66
P010,2025-04-29,82.17
P010,2025-09-15,95.32
P012,2024-08-31,58.49
P006,2024-01-21,98.25
P005,2025-05-18,76.63
P005,2026-01-31,81.51
P012,2025-03-02,68.53
P004,2025-02-20,58.07
P001,2025-06-11,62.5
P007,2024-05-18,58.45
